,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),BDX,18738.0,18870.0,20248.0,17117.0,17290.0
Cost of revenue(figures in $M),BDX,10348.0,10393.0,10821.0,9540.0,9002.0
Gross profit(figures in $M),BDX,8390.0,8477.0,9427.0,7577.0,8288.0
Research development(figures in $M),BDX,1255.0,1256.0,1339.0,1096.0,1062.0
Selling general and administrative(figures in $M),BDX,4711.0,4709.0,4867.0,4325.0,4332.0
Total operating expenses(figures in $M),BDX,6010.0,6002.0,6444.0,5784.0,6048.0
Operating income or loss(figures in $M),BDX,2380.0,2475.0,2983.0,1793.0,2240.0
Interest expense(figures in $M),BDX,402.0,398.0,469.0,528.0,639.0
Total other income/expenses net(figures in $M),BDX,-330.0,-309.0,-282.0,-286.0,-450.0
Income before tax(figures in $M),BDX,1664.0,1783.0,2242.0,985.0,1163.0
Income tax expense(figures in $M),BDX,88.0,148.0,150.0,111.0,-57.0
Income from continuing operations(figures in $M),BDX,1576.0,1635.0,2092.0,874.0,1220.0
Net income(figures in $M),BDX,1611.0,1779.0,2092.0,874.0,1220.0
Net income available to common shareholders(figures in $M),BDX,1520.0,1689.0,2002.0,767.0,1069.0
Basic EPS(figures in $M),BDX,,5.93e-06,6.92e-06,2.75e-06,3.96e-06
Diluted EPS(figures in $M),BDX,,5.88e-06,6.85e-06,2.71e-06,3.89e-06
Basic average shares(figures in $M),BDX,,285.005,289.288,278.971,269.943
Diluted average shares(figures in $M),BDX,,287.364,292.089,282.402,274.775
EBITDA(figures in $M),BDX,,4410.0,4984.0,3667.0,4055.0
