,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DNB,2224.6,2224.6,2165.6,1738.1,1413.9
Cost of revenue(figures in $M),DNB,721.4,721.4,664.3,,
Gross profit(figures in $M),DNB,1503.2,1503.2,1501.3,,
Selling general and administrative(figures in $M),DNB,745.6,745.6,714.7,557.8,651.2
Total operating expenses(figures in $M),DNB,1332.8,1332.8,1330.6,1640.3,1582.1
Operating income or loss(figures in $M),DNB,170.4,170.4,170.7,97.8,-168.2
Interest expense(figures in $M),DNB,193.2,193.2,206.4,271.1,303.5
Total other income/expenses net(figures in $M),DNB,-6.6,-6.6,-10.2,-46.8,-206.6
Income before tax(figures in $M),DNB,-27.2,-27.2,-45.2,-219.3,-675.9
Income tax expense(figures in $M),DNB,-28.8,-28.8,23.4,-110.5,-118.2
Income from continuing operations(figures in $M),DNB,4.1,4.1,-65.9,-106.5,-553.5
Net income(figures in $M),DNB,-2.3,-2.3,-71.7,-111.5,-560.0
Net income available to common shareholders(figures in $M),DNB,-2.3,-2.3,-71.7,-175.6,-275.8
Basic EPS(figures in $M),DNB,,,-1.7000000000000001e-07,-4.9e-07,-1.64e-06
Diluted EPS(figures in $M),DNB,,,-1.7000000000000001e-07,-4.9e-07,-1.64e-06
Basic average shares(figures in $M),DNB,,,428.7,367.1,411.3
Diluted average shares(figures in $M),DNB,,,428.7,367.1,411.3
EBITDA(figures in $M),DNB,,753.2,777.1,588.7,110.0
