,ticker,2023,2024,2025,2026,2027
Revenue(In $M),DNB,"2,277","2,385","2,508","2,651","2,778"
Dividend,DNB,0.10,0.10,0.10,-,-
Dividend Yield (in %),DNB,1.20 %,1.11 %,1.80 %,-,-
EPS,DNB,0.97,1.11,1.27,1.43,1.58
P/E Ratio,DNB,10.65,9.31,8.12,7.20,6.51
EBIT(In $M),DNB,798,847,407,994,"1,058"
EBITDA(In $M),DNB,890,944,"1,015","1,101","1,168"
Net Profit(In $M),DNB,416,481,567,625,691
Net Profit Adjusted(In $M),DNB,417,481,579,625,691
Pre-Tax Profit(In $M),DNB,557,625,288,826,913
Net Profit (Adjusted)(In $M),DNB,-22,83,249,-,-
EPS (Non-GAAP) ex. SOE(In $),DNB,0.97,1.11,1.28,1.43,1.58
EPS (GAAP)(In $),DNB,-0.01,0.11,0.29,0.51,0.65
Gross Income(In $M),DNB,"1,605","1,706","1,769",-,-
Cash Flow from Investing(In $M),DNB,-171,-174,-,-,-
Cash Flow from Operations(In $M),DNB,540,624,802,899,969
Cash Flow from Financing(In $M),DNB,-386,-171,-,-,-
Cash Flow per Share(In $),DNB,1.17,1.22,-,-,-
Free Cash Flow(In $M),DNB,383,463,572,669,729
Free Cash Flow per Share(In $),DNB,0.98,1.08,1.24,-,-
Book Value per Share(In $),DNB,7.98,7.42,-,-,-
Net Debt(In $M),DNB,"3,112","2,939","2,455",-,-
Research & Development Exp.(In $M),DNB,-,-,-,-,-
Capital Expenditure(In $M),DNB,175,180,218,229,241
"Selling, General & Admin. Exp.(In $M)",DNB,692,717,723,693,714
Shareholder’s Equity(In $M),DNB,"3,463","3,365",-,-,-
Total Assets(In $M),DNB,"9,219","9,054",-,-,-
