,2022,2021,2020,2019,2018,ticker
Current ratio,0.589,0.701,0.820,0.799,0.798,T
Quick ratio,0.270,0.453,0.472,0.508,0.492,T
Cash ratio,0.066,0.247,0.154,0.177,0.081,T
Days of sales outstanding,34.662,37.980,42.958,45.734,56.585,T
Days of inventory outstanding,22.418,15.843,0,0,0,T
Operating cycle,57.079,53.822,42.958,45.734,56.585,T
Days of payables outstanding,306.110,231.700,223.932,199.355,124.171,T
Cash conversion cycle,-249.030,-177.877,-180.974,-153.622,-67.586,T
Gross profit margin,0.579,0.527,0.535,0.536,0.535,T
Operating profit margin,0.253,0.229,0.139,0.154,0.153,T
Pretax profit margin,-0.026,0.160,-0.017,0.102,0.146,T
Net profit margin,-0.057,0.119,-0.022,0.077,0.113,T
Effective tax rate,-1.222,0.203,-0.338,0.189,0.198,T
Return on assets,-0.017,0.036,-0.007,0.025,0.036,T
Return on equity,-0.071,0.121,-0.024,0.075,0.105,T
Return on capital employed,0.088,0.083,0.052,0.058,0.056,T
Net income per EBT,2.222,0.745,1.338,0.753,0.779,T
Ebt per ebit,-0.101,0.696,-0.119,0.661,0.951,T
Ebit per revenue,0.253,0.229,0.139,0.154,0.153,T
Debt ratio,0.736,0.667,0.659,0.634,0.635,T
Debt equity ratio,1.586,1.202,1.110,1.004,0.959,T
Long term debt to capitalization,0.601,0.511,0.521,0.485,0.475,T
Total debt to capitalization,0.613,0.546,0.526,0.501,0.489,T
Interest coverage,4.995,5.627,3.022,3.319,3.285,T
Cash flow to debt ratio,0.207,0.210,0.240,0.263,0.247,T
Company equity multiplier,4.132,3.316,3.252,2.996,2.889,T
Receivables turnover,10.530,9.610,8.497,7.981,6.450,T
Payables turnover,1.192,1.575,1.630,1.831,2.939,T
Inventory turnover,16.282,23.039,0,0,0,T
Fixed asset turnover,0.809,1.125,1.130,1.174,1.299,T
Asset turnover,0.300,0.306,0.327,0.328,0.321,T
Operating cash flow per share,4.469,5.853,6.026,6.650,6.433,T
Free cash flow per share,1.730,3.548,3.836,3.994,3.370,T
Cash per share,0.516,2.953,1.361,1.657,0.768,T
Payout ratio,-1.434,0.750,-3.914,1.071,0.692,T
Operating cash flow sales ratio,0.265,0.248,0.251,0.269,0.255,T
Free cash flow operating cash flow ratio,0.387,0.606,0.637,0.601,0.524,T
Cash flow coverage ratios,0.207,0.210,0.240,0.263,0.247,T
Short term coverage ratios,4.215,1.622,12.429,4.255,4.252,T
Capital expenditure coverage ratio,-1.632,-2.539,-2.752,-2.504,-2.100,T
Dividend paid and capex coverage ratio,-3.279,-28.757,-59.986,-10.703,-5.934,T
Dividend payout ratio,-1.434,0.750,-3.914,1.071,0.692,T
Price book value ratio,1.353,0.801,0.962,1.173,0.794,T
Price to book ratio,1.353,0.801,0.962,1.173,0.794,T
Price to sales ratio,1.093,0.789,0.905,1.192,0.856,T
Price earnings ratio,-19.192,6.632,-40.687,15.539,7.543,T
Price to free cash flows ratio,10.642,5.237,5.663,7.390,6.396,T
Price to operating cash flows ratio,4.120,3.174,3.605,4.439,3.351,T
Price cash flow ratio,4.120,3.174,3.605,4.439,3.351,T
Price earnings to growth ratio,0.143,0.011,0.318,-0.466,-0.187,T
Price sales ratio,1.093,0.789,0.905,1.192,0.856,T
Dividend yield,0.075,0.113,0.096,0.069,0.092,T
Enterprise value multiple,5.829,5.065,6.198,6.874,5.231,T
Price fair value,1.353,0.801,0.962,1.173,0.794,T
