,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),T,120741.0,120741.0,168864.0,171760.0,181193.0
Cost of revenue(figures in $M),T,50848.0,50848.0,79807.0,79920.0,84141.0
Gross profit(figures in $M),T,69893.0,69893.0,89057.0,91840.0,97052.0
Selling general and administrative(figures in $M),T,28961.0,28961.0,37944.0,38039.0,39422.0
Total operating expenses(figures in $M),T,46982.0,46982.0,60806.0,66555.0,67639.0
Operating income or loss(figures in $M),T,22911.0,22911.0,28251.0,25285.0,29413.0
Interest expense(figures in $M),T,6108.0,6108.0,6884.0,7925.0,8422.0
Total other income/expenses net(figures in $M),T,-19897.0,-19897.0,5580.0,-20216.0,-2523.0
Income before tax(figures in $M),T,-3094.0,-3094.0,26947.0,-2856.0,18468.0
Income tax expense(figures in $M),T,3780.0,3780.0,5468.0,965.0,3493.0
Income from continuing operations(figures in $M),T,-6874.0,-6874.0,21479.0,-3821.0,14975.0
Net income(figures in $M),T,-8524.0,-8524.0,20081.0,-5176.0,13903.0
Net income available to common shareholders(figures in $M),T,-8727.0,-8727.0,19874.0,-5369.0,13900.0
Basic EPS(figures in $M),T,,-1.13e-06,2.77e-06,-7.5e-07,1.8999999999999998e-06
Diluted EPS(figures in $M),T,,-1.13e-06,2.73e-06,-7.5e-07,1.89e-06
Basic average shares(figures in $M),T,,7166.0,7168.0,7157.0,7319.0
Diluted average shares(figures in $M),T,,7587.0,7503.0,7183.0,7348.0
EBITDA(figures in $M),T,,21035.0,56693.0,33585.0,55107.0
