,ticker,2023,2024,2025,2026,2027
Revenue(In $M),T,"122,168","123,652","124,795","126,610","127,906"
Dividend,T,1.12,1.12,1.13,1.16,1.18
Dividend Yield (in %),T,6.09 %,6.15 %,6.21 %,6.41 %,6.52 %
EPS,T,2.41,2.47,2.50,2.54,2.57
P/E Ratio,T,7.12,6.95,6.87,6.76,6.69
EBIT(In $M),T,"24,173","25,132","25,648","25,383","25,705"
EBITDA(In $M),T,"42,842","43,874","44,611","45,699","46,042"
Net Profit(In $M),T,"17,218","17,602","17,941","17,300","17,436"
Net Profit Adjusted(In $M),T,"17,676","18,109","18,551","18,127","18,826"
Pre-Tax Profit(In $M),T,"23,827","24,271","24,709","24,951","25,118"
Net Profit (Adjusted)(In $M),T,"23,864","24,359","24,884","24,951","25,118"
EPS (Non-GAAP) ex. SOE(In $),T,2.41,2.47,2.50,2.54,2.57
EPS (GAAP)(In $),T,2.32,2.36,2.43,2.44,2.47
Gross Income(In $M),T,"76,583","77,521","78,496",-,-
Cash Flow from Investing(In $M),T,"-18,551","-17,694","-17,714","-19,755","-19,809"
Cash Flow from Operations(In $M),T,"38,208","37,931","38,443","38,487","39,108"
Cash Flow from Financing(In $M),T,"-16,607","-15,719","-16,446","-10,878","-11,079"
Cash Flow per Share(In $),T,5.34,5.30,5.34,-,-
Free Cash Flow(In $M),T,"16,855","18,181","17,844","18,726","18,464"
Free Cash Flow per Share(In $),T,2.16,2.36,2.35,2.33,2.36
Book Value per Share(In $),T,15.18,16.50,17.88,-,-
Net Debt(In $M),T,"128,469","120,835","113,508","104,861","100,816"
Research & Development Exp.(In $M),T,-,-,-,-,-
Capital Expenditure(In $M),T,"20,888","18,903","18,866","19,642","19,481"
"Selling, General & Admin. Exp.(In $M)",T,"29,106","28,454","34,775",-,-
Shareholder’s Equity(In $M),T,"114,837","124,641","133,954","141,025","149,628"
Total Assets(In $M),T,"403,439","406,236","408,399","416,248","419,522"
