,ticker,2023,2024,2025,2026,2027
Revenue(In $M),JNPR,"5,799","6,042","6,284","7,215","7,725"
Dividend,JNPR,0.87,0.88,0.92,-,-
Dividend Yield (in %),JNPR,2.77 %,2.83 %,2.91 %,-,-
EPS,JNPR,2.35,2.58,2.76,3.20,3.72
P/E Ratio,JNPR,12.12,11.01,10.30,8.89,7.65
EBIT(In $M),JNPR,990,"1,078","1,144",-,-
EBITDA(In $M),JNPR,"1,176","1,262","1,310",-,-
Net Profit(In $M),JNPR,771,842,901,"1,043","1,213"
Net Profit Adjusted(In $M),JNPR,771,842,901,"1,043","1,213"
Pre-Tax Profit(In $M),JNPR,952,"1,041","1,109",-,-
Net Profit (Adjusted)(In $M),JNPR,725,819,-,-,-
EPS (Non-GAAP) ex. SOE(In $),JNPR,2.40,2.80,-,-,-
EPS (GAAP)(In $),JNPR,1.54,1.70,2.10,-,-
Gross Income(In $M),JNPR,"3,375","3,572","3,785","4,307","4,659"
Cash Flow from Investing(In $M),JNPR,-77,-160,-178,-,-
Cash Flow from Operations(In $M),JNPR,913,"1,121","1,120",-,-
Cash Flow from Financing(In $M),JNPR,-558,-495,-717,-,-
Cash Flow per Share(In $),JNPR,2.61,3.01,3.05,-,-
Free Cash Flow(In $M),JNPR,724,947,993,-,-
Free Cash Flow per Share(In $),JNPR,-,-,-,-,-
Book Value per Share(In $),JNPR,14.28,15.53,16.70,-,-
Net Debt(In $M),JNPR,473,188,-140,-,-
Research & Development Exp.(In $M),JNPR,"1,032","1,067","1,110",-,-
Capital Expenditure(In $M),JNPR,149,146,151,-,-
"Selling, General & Admin. Exp.(In $M)",JNPR,"1,344","1,403",-,-,-
Shareholder’s Equity(In $M),JNPR,"4,598","4,876","5,275",-,-
Total Assets(In $M),JNPR,"9,553","9,982","10,759",-,-
