,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CHK,"5,119","5,405","6,279","7,613","7,799"
Dividend,CHK,2.86,2.80,4.89,-,-
Dividend Yield (in %),CHK,3.43 %,3.45 %,5.18 %,9.28 %,-
EPS,CHK,4.61,6.66,10.37,10.52,6.93
P/E Ratio,CHK,16.76,11.59,7.44,7.34,11.14
EBIT(In $M),CHK,"1,344","1,310","1,934","1,306","1,360"
EBITDA(In $M),CHK,"2,628","2,908","3,741","3,498","3,138"
Net Profit(In $M),CHK,"1,069",935,"1,414",961,"1,004"
Net Profit Adjusted(In $M),CHK,705,938,"1,411","1,800",-
Pre-Tax Profit(In $M),CHK,"1,433","1,205","1,875","1,216","1,271"
Net Profit (Adjusted)(In $M),CHK,734,"1,169","1,748",-,-
EPS (Non-GAAP) ex. SOE(In $),CHK,4.68,6.38,9.99,6.63,6.93
EPS (GAAP)(In $),CHK,6.97,6.27,9.55,6.63,6.93
Gross Income(In $M),CHK,-,-,-,-,-
Cash Flow from Investing(In $M),CHK,-241,"-1,760","-1,899","-1,812","-1,827"
Cash Flow from Operations(In $M),CHK,"2,528","2,711","3,244","3,328","2,887"
Cash Flow from Financing(In $M),CHK,"-1,906",-796,"-1,044",-795,-295
Cash Flow per Share(In $),CHK,17.15,19.49,24.23,23.59,19.93
Free Cash Flow(In $M),CHK,530,831,"1,231","1,428",-
Free Cash Flow per Share(In $),CHK,1.93,6.05,12.12,-,-
Book Value per Share(In $),CHK,66.04,69.51,73.96,-,-
Net Debt(In $M),CHK,"1,871","1,919","1,519",121,-
Research & Development Exp.(In $M),CHK,-,-,-,-,-
Capital Expenditure(In $M),CHK,"1,944","1,822","1,980","2,068","1,928"
"Selling, General & Admin. Exp.(In $M)",CHK,169,173,177,-,-
Shareholder’s Equity(In $M),CHK,"8,827","8,914","9,127","9,870",-
Total Assets(In $M),CHK,"14,555","14,870","15,288","16,486","17,346"
