,ticker,ttm,2022-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CHK,11443.0,11443.0,5210.0,8489.0
Cost of revenue(figures in $M),CHK,7744.0,7744.0,4590.0,8093.0
Gross profit(figures in $M),CHK,3699.0,3699.0,620.0,396.0
Selling general and administrative(figures in $M),CHK,142.0,142.0,311.0,315.0
Total operating expenses(figures in $M),CHK,214.0,214.0,818.0,447.0
Operating income or loss(figures in $M),CHK,3485.0,3485.0,-198.0,-51.0
Interest expense(figures in $M),CHK,163.0,160.0,418.0,657.0
Total other income/expenses net(figures in $M),CHK,326.0,326.0,-9240.0,64.0
Income before tax(figures in $M),CHK,3651.0,3651.0,-9769.0,-639.0
Income tax expense(figures in $M),CHK,-1285.0,-1285.0,-19.0,-331.0
Income from continuing operations(figures in $M),CHK,4936.0,4936.0,-9750.0,-308.0
Net income(figures in $M),CHK,4936.0,4936.0,-9734.0,-308.0
Net income available to common shareholders(figures in $M),CHK,4869.0,4869.0,-9756.0,-416.0
Basic EPS(figures in $M),CHK,,,-0.00099826,-4.997e-05
Diluted EPS(figures in $M),CHK,,,-0.00099826,-4.997e-05
Basic average shares(figures in $M),CHK,,,9.773,8.325
Diluted average shares(figures in $M),CHK,,,9.773,8.325
EBITDA(figures in $M),CHK,,5564.0,-8254.0,2282.0
