,ticker,2023,2024,2025
Revenue(In $M),CMI,"32,739","32,072","33,345"
Dividend,CMI,6.38,6.69,6.97
Dividend Yield (in %),CMI,2.63 %,2.77 %,3.02 %
EPS,CMI,19.69,19.48,22.28
P/E Ratio,CMI,11.26,11.38,9.95
EBIT(In $M),CMI,"3,880","3,748","4,051"
EBITDA(In $M),CMI,"4,988","4,854","5,158"
Net Profit(In $M),CMI,"2,811","2,678","2,958"
Net Profit Adjusted(In $M),CMI,"2,790","2,669","2,919"
Pre-Tax Profit(In $M),CMI,"3,687","3,530","3,866"
Net Profit (Adjusted)(In $M),CMI,"3,668","3,490","3,887"
EPS (Non-GAAP) ex. SOE(In $),CMI,19.69,19.48,22.28
EPS (GAAP)(In $),CMI,19.76,19.25,21.60
Gross Income(In $M),CMI,"8,218","8,142","9,134"
Cash Flow from Investing(In $M),CMI,"-1,333","-1,127",-949
Cash Flow from Operations(In $M),CMI,"3,440","4,301","4,277"
Cash Flow from Financing(In $M),CMI,"-1,769","-1,976","-1,637"
Cash Flow per Share(In $),CMI,26.46,31.21,30.22
Free Cash Flow(In $M),CMI,"2,195","2,975","3,090"
Free Cash Flow per Share(In $),CMI,15.99,15.26,16.30
Book Value per Share(In $),CMI,75.34,84.25,95.10
Net Debt(In $M),CMI,"3,848","2,434","1,876"
Research & Development Exp.(In $M),CMI,"1,465","1,524","1,494"
Capital Expenditure(In $M),CMI,"1,240","1,093","1,017"
"Selling, General & Admin. Exp.(In $M)",CMI,"3,055","3,087","3,278"
Shareholder’s Equity(In $M),CMI,"11,160","12,120","13,315"
Total Assets(In $M),CMI,"30,890","31,834","33,377"
