,ticker,2023,2024,2025,2026
Revenue(In $M),A,-,-,"8,103","8,605"
Dividend,A,0.90,0.96,0.98,-
Dividend Yield (in %),A,0.64 %,0.69 %,0.71 %,-
EPS,A,5.69,6.30,7.03,7.75
P/E Ratio,A,23.71,21.40,19.17,17.40
EBIT(In $M),A,"1,995","2,183","2,370","2,553"
EBITDA(In $M),A,"2,135","2,341","2,530","2,721"
Net Profit(In $M),A,"1,685","1,841","2,022","2,133"
Net Profit Adjusted(In $M),A,"1,685","1,841","2,022","2,133"
Pre-Tax Profit(In $M),A,"1,954","2,138","2,349","2,473"
Net Profit (Adjusted)(In $M),A,"1,842","2,039","2,278",-
EPS (Non-GAAP) ex. SOE(In $),A,5.69,6.30,7.03,7.75
EPS (GAAP)(In $),A,5.14,5.72,6.58,-
Gross Income(In $M),A,"4,023","4,312","4,660","5,107"
Cash Flow from Investing(In $M),A,-465,-311,-313,-
Cash Flow from Operations(In $M),A,"1,627","2,049","2,217",-
Cash Flow from Financing(In $M),A,-431,-837,"-1,021",-
Cash Flow per Share(In $),A,5.78,7.10,7.77,-
Free Cash Flow(In $M),A,"1,166","1,734","1,893",-
Free Cash Flow per Share(In $),A,4.30,5.90,6.62,-
Book Value per Share(In $),A,21.27,23.25,25.65,-
Net Debt(In $M),A,957,416,-110,-
Research & Development Exp.(In $M),A,-,-,-,533
Capital Expenditure(In $M),A,476,338,322,-
"Selling, General & Admin. Exp.(In $M)",A,"1,549","1,621",-,"1,854"
Shareholder’s Equity(In $M),A,"6,430","6,853","7,445",-
Total Assets(In $M),A,"11,724","12,617","13,468",-
