,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HES,"10,603","12,799","13,470","12,179","14,708"
Dividend,HES,1.75,1.99,2.42,-,-
Dividend Yield (in %),HES,1.37 %,1.64 %,1.84 %,-,-
EPS,HES,5.35,9.01,10.73,11.73,16.35
P/E Ratio,HES,25.27,14.99,12.60,11.52,8.27
EBIT(In $M),HES,"3,070","4,611","5,082","5,961","7,930"
EBITDA(In $M),HES,"5,192","6,935","7,439","7,973","9,846"
Net Profit(In $M),HES,"1,758","3,006","3,314","3,656","4,790"
Net Profit Adjusted(In $M),HES,"1,758","3,006","3,314","3,656","4,790"
Pre-Tax Profit(In $M),HES,"2,856","4,415","4,878","5,392","7,376"
Net Profit (Adjusted)(In $M),HES,"2,434","3,627","3,691",-,-
EPS (Non-GAAP) ex. SOE(In $),HES,5.35,9.01,10.73,11.73,16.35
EPS (GAAP)(In $),HES,5.69,9.39,10.06,11.98,16.04
Gross Income(In $M),HES,"7,733","9,498","9,505",-,-
Cash Flow from Investing(In $M),HES,"-3,791","-4,362","-4,460","-4,487","-4,514"
Cash Flow from Operations(In $M),HES,"4,344","6,022","6,375","6,978","8,949"
Cash Flow from Financing(In $M),HES,-871,"-1,378","-1,276","-1,350","-2,540"
Cash Flow per Share(In $),HES,13.83,18.58,20.35,22.97,29.30
Free Cash Flow(In $M),HES,405,"1,385","1,409","2,328",-
Free Cash Flow per Share(In $),HES,-1.51,3.82,5.67,-,-
Book Value per Share(In $),HES,30.51,37.26,44.34,-,-
Net Debt(In $M),HES,"6,257","6,104","5,979",-,-
Research & Development Exp.(In $M),HES,-,-,-,-,-
Capital Expenditure(In $M),HES,"3,729","4,181","4,429","4,348","4,402"
"Selling, General & Admin. Exp.(In $M)",HES,418,433,442,451,524
Shareholder’s Equity(In $M),HES,"9,438","11,347","13,305","14,406","17,459"
Total Assets(In $M),HES,"23,151","25,021","27,224","30,611","34,529"
