,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),EXC,19078.0,19078.0,17938.0,33039.0,34438.0
Cost of revenue(figures in $M),EXC,11046.0,11046.0,10932.0,23512.0,24112.0
Gross profit(figures in $M),EXC,8032.0,8032.0,7006.0,9527.0,10326.0
Total operating expenses(figures in $M),EXC,4715.0,4715.0,4324.0,6728.0,5984.0
Operating income or loss(figures in $M),EXC,3317.0,3317.0,2682.0,2799.0,4342.0
Interest expense(figures in $M),EXC,1447.0,1447.0,1289.0,1635.0,1616.0
Total other income/expenses net(figures in $M),EXC,533.0,533.0,261.0,1169.0,1259.0
Income before tax(figures in $M),EXC,2403.0,2403.0,1654.0,2333.0,3985.0
Income tax expense(figures in $M),EXC,349.0,349.0,38.0,373.0,774.0
Income from continuing operations(figures in $M),EXC,2054.0,2054.0,1616.0,1954.0,3028.0
Net income(figures in $M),EXC,2170.0,2170.0,1706.0,1963.0,2936.0
Net income available to common shareholders(figures in $M),EXC,2170.0,2170.0,1706.0,1963.0,2936.0
Basic EPS(figures in $M),EXC,,2.2e-06,1.74e-06,2.01e-06,3.02e-06
Diluted EPS(figures in $M),EXC,,2.2e-06,1.74e-06,2.01e-06,3.01e-06
Basic average shares(figures in $M),EXC,,986.0,979.0,976.0,973.0
Diluted average shares(figures in $M),EXC,,987.0,980.0,977.0,974.0
EBITDA(figures in $M),EXC,,7383.0,9377.0,10495.0,11381.0
