,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EXC,"19,670","20,181","20,622","21,531","22,126"
Dividend,EXC,1.46,1.57,1.67,1.80,1.91
Dividend Yield (in %),EXC,3.55 %,3.80 %,4.02 %,4.34 %,4.60 %
EPS,EXC,2.36,2.51,2.73,2.92,3.11
P/E Ratio,EXC,17.86,16.81,15.45,14.43,13.55
EBIT(In $M),EXC,"4,216","4,472","4,925","5,579","5,961"
EBITDA(In $M),EXC,"7,588","8,149","8,770","9,641","9,102"
Net Profit(In $M),EXC,"2,353","2,514","2,744","2,940","3,141"
Net Profit Adjusted(In $M),EXC,"2,353","2,514","2,744","2,940","3,141"
Pre-Tax Profit(In $M),EXC,"2,779","2,981","3,281","3,588","3,829"
Net Profit (Adjusted)(In $M),EXC,"2,620","2,784","3,070",-,-
EPS (Non-GAAP) ex. SOE(In $),EXC,2.36,2.51,2.73,2.92,3.11
EPS (GAAP)(In $),EXC,2.37,2.51,2.75,2.92,3.11
Gross Income(In $M),EXC,"13,423","13,881","14,485","15,466","16,148"
Cash Flow from Investing(In $M),EXC,"-7,050","-7,450","-7,806","-8,125","-8,219"
Cash Flow from Operations(In $M),EXC,"5,547","5,875","6,299","6,817","7,249"
Cash Flow from Financing(In $M),EXC,"1,855","1,279","1,699","1,226","1,589"
Cash Flow per Share(In $),EXC,5.35,5.64,6.31,6.37,6.67
Free Cash Flow(In $M),EXC,-318,-393,-612,-,-
Free Cash Flow per Share(In $),EXC,-1.55,-1.72,-2.06,-1.93,-1.72
Book Value per Share(In $),EXC,28.79,29.77,30.92,-,-
Net Debt(In $M),EXC,"41,392","43,529","45,330","36,445","35,145"
Research & Development Exp.(In $M),EXC,-,-,-,-,-
Capital Expenditure(In $M),EXC,"7,125","7,528","7,975","8,325","8,356"
"Selling, General & Admin. Exp.(In $M)",EXC,"5,785","5,816","5,847",-,-
Shareholder’s Equity(In $M),EXC,"27,829","29,367","31,046","36,434","39,653"
Total Assets(In $M),EXC,"99,127","103,987","108,773","118,632","124,950"
