,ticker,2023,2024,2025
Revenue(In $M),MMC,"22,295","23,570","24,799"
Dividend,MMC,2.46,2.66,2.88
Dividend Yield (in %),MMC,1.54 %,1.67 %,1.83 %
EPS,MMC,7.61,8.40,9.32
P/E Ratio,MMC,23.33,21.13,19.04
EBIT(In $M),MMC,"5,395","5,889","6,447"
EBITDA(In $M),MMC,"6,171","6,645","7,150"
Net Profit(In $M),MMC,"3,778","4,116","4,436"
Net Profit Adjusted(In $M),MMC,"3,778","4,116","4,436"
Pre-Tax Profit(In $M),MMC,"5,024","5,515","6,033"
Net Profit (Adjusted)(In $M),MMC,"4,999","5,460","5,938"
EPS (Non-GAAP) ex. SOE(In $),MMC,7.61,8.40,9.32
EPS (GAAP)(In $),MMC,7.37,8.19,9.04
Gross Income(In $M),MMC,"5,177","5,758",-
Cash Flow from Investing(In $M),MMC,-763,-792,-
Cash Flow from Operations(In $M),MMC,"3,513","4,735","4,934"
Cash Flow from Financing(In $M),MMC,-993,"-1,633",-
Cash Flow per Share(In $),MMC,6.55,9.74,10.38
Free Cash Flow(In $M),MMC,"3,436","4,337","4,895"
Free Cash Flow per Share(In $),MMC,7.40,9.18,9.88
Book Value per Share(In $),MMC,25.24,28.27,29.82
Net Debt(In $M),MMC,"9,302","8,409","10,188"
Research & Development Exp.(In $M),MMC,-,-,-
Capital Expenditure(In $M),MMC,464,502,565
"Selling, General & Admin. Exp.(In $M)",MMC,-,-,-
Shareholder’s Equity(In $M),MMC,"11,466","12,466","13,454"
Total Assets(In $M),MMC,"29,011","30,077","34,901"
