,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),EW,5382.4,5382.4,5232.5,4386.3,4348.0
Cost of revenue(figures in $M),EW,1080.4,1080.4,1248.9,1080.6,1114.4
Gross profit(figures in $M),EW,4302.0,4302.0,3983.6,3305.7,3233.6
Research development(figures in $M),EW,945.2,945.2,903.1,760.7,752.7
Selling general and administrative(figures in $M),EW,1567.6,1567.6,1493.7,1228.4,1242.2
Total operating expenses(figures in $M),EW,2512.8,2512.8,2396.8,1989.1,1994.9
Operating income or loss(figures in $M),EW,1789.2,1789.2,1586.8,1316.6,1238.7
Interest expense(figures in $M),EW,19.2,19.2,18.4,15.8,20.7
Total other income/expenses net(figures in $M),EW,-38.1,-38.1,116.2,-407.5,-83.7
Income before tax(figures in $M),EW,1767.4,1767.4,1702.0,916.7,1166.5
Income tax expense(figures in $M),EW,245.5,245.5,198.9,93.3,119.6
Income from continuing operations(figures in $M),EW,1521.9,1521.9,1503.1,823.4,1046.9
Net income(figures in $M),EW,1521.9,1521.9,1503.1,823.4,1046.9
Net income available to common shareholders(figures in $M),EW,1521.9,1521.9,1503.1,823.4,1046.9
Basic EPS(figures in $M),EW,,,2.4100000000000002e-06,1.32e-06,1.68e-06
Diluted EPS(figures in $M),EW,,,2.38e-06,1.3e-06,1.64e-06
Basic average shares(figures in $M),EW,,,623.3,622.6,624.8
Diluted average shares(figures in $M),EW,,,631.2,631.9,636.7
EBITDA(figures in $M),EW,,1789.2,1586.8,1316.6,1238.7
