,2022,2021,2020,2019,2018,ticker
Current ratio,3.028,3.081,3.458,3.307,2.609,EW
Quick ratio,1.872,2.065,2.243,2.345,1.704,EW
Cash ratio,0.752,0.836,1.324,1.307,0.815,EW
Days of sales outstanding,47.408,46.381,50.161,50.292,52.679,EW
Days of inventory outstanding,295.777,212.383,270.997,209.914,235.847,EW
Operating cycle,343.186,258.764,321.158,260.207,288.527,EW
Days of payables outstanding,68.209,59.767,66.373,59.087,52.065,EW
Cash conversion cycle,274.976,198.998,254.785,201.120,236.462,EW
Gross profit margin,0.799,0.761,0.754,0.744,0.748,EW
Operating profit margin,0.325,0.258,0.371,0.264,0.201,EW
Pretax profit margin,0.328,0.325,0.209,0.268,0.205,EW
Net profit margin,0.283,0.287,0.188,0.241,0.194,EW
Effective tax rate,0.139,0.117,0.102,0.103,0.051,EW
Return on assets,0.184,0.177,0.114,0.161,0.136,EW
Return on equity,0.262,0.258,0.180,0.252,0.230,EW
Return on capital employed,0.241,0.181,0.257,0.205,0.168,EW
Net income per EBT,0.861,0.883,0.898,0.897,0.949,EW
Ebt per ebit,1.011,1.262,0.563,1.017,1.018,EW
Ebit per revenue,0.325,0.258,0.371,0.264,0.201,EW
Debt ratio,0.300,0.314,0.368,0.361,0.410,EW
Debt equity ratio,0.119,0.118,0.152,0.164,0.189,EW
Long term debt to capitalization,0.103,0.102,0.127,0.136,0.159,EW
Total debt to capitalization,0.106,0.106,0.132,0.141,0.159,EW
Interest coverage,91.068,73.288,103.063,55.401,25.023,EW
Cash flow to debt ratio,1.762,2.509,1.517,1.737,1.561,EW
Company equity multiplier,1.428,1.457,1.582,1.564,1.695,EW
Receivables turnover,7.699,7.870,7.277,7.258,6.929,EW
Payables turnover,5.351,6.107,5.499,6.177,7.010,EW
Inventory turnover,1.234,1.719,1.347,1.739,1.548,EW
Fixed asset turnover,3.120,3.193,2.945,3.813,4.291,EW
Asset turnover,0.649,0.615,0.606,0.670,0.699,EW
Operating cash flow per share,1.968,2.779,1.693,1.888,1.477,EW
Free cash flow per share,1.540,2.250,1.039,1.442,1.092,EW
Cash per share,1.963,2.353,2.253,2.428,1.524,EW
Payout ratio,0,0,0,0,0,EW
Operating cash flow sales ratio,0.226,0.331,0.240,0.271,0.249,EW
Free cash flow operating cash flow ratio,0.783,0.810,0.614,0.764,0.739,EW
Cash flow coverage ratios,1.762,2.509,1.517,1.737,1.561,EW
Short term coverage ratios,47.773,67.925,38.761,46.251,0,EW
Capital expenditure coverage ratio,-4.600,-5.252,-2.589,-4.236,-3.835,EW
Dividend paid and capex coverage ratio,-4.600,-5.252,-2.589,-4.236,-3.835,EW
Dividend payout ratio,0,0,0,0,0,EW
Price book value ratio,7.954,13.837,12.417,11.712,10.204,EW
Price to book ratio,7.954,13.837,12.417,11.712,10.204,EW
Price to sales ratio,8.580,15.432,12.949,11.174,8.607,EW
Price earnings ratio,30.346,53.721,68.982,46.410,44.369,EW
Price to free cash flows ratio,48.441,57.583,87.789,53.925,46.772,EW
Price to operating cash flows ratio,37.911,46.619,53.874,41.196,34.574,EW
Price cash flow ratio,37.911,46.619,53.874,41.196,34.574,EW
Price earnings to growth ratio,14.627,0.651,-3.219,1.007,2.618,EW
Price sales ratio,8.580,15.432,12.949,11.174,8.607,EW
Dividend yield,0,0,0,0,0,EW
Enterprise value multiple,25.196,54.322,32.445,36.139,37.027,EW
Price fair value,7.954,13.837,12.417,11.712,10.204,EW
