,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EW,"5,949","6,549","7,193","8,146","8,837"
Dividend,EW,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),EW,-,-,-,-,-
EPS,EW,2.55,2.88,3.26,3.76,4.16
P/E Ratio,EW,34.59,30.57,27.07,23.45,21.17
EBIT(In $M),EW,"1,786","2,020","2,282","2,633","2,921"
EBITDA(In $M),EW,"1,949","2,192","2,454","2,837","3,010"
Net Profit(In $M),EW,"1,551","1,749","1,968","2,277","2,504"
Net Profit Adjusted(In $M),EW,"1,553","1,751","1,971","2,277","2,504"
Pre-Tax Profit(In $M),EW,"1,814","2,046","2,307","2,672","2,935"
Net Profit (Adjusted)(In $M),EW,"1,788","2,047","2,300","2,666","2,789"
EPS (Non-GAAP) ex. SOE(In $),EW,2.55,2.88,3.26,3.76,4.16
EPS (GAAP)(In $),EW,2.47,2.84,3.25,3.79,4.22
Gross Income(In $M),EW,"4,591","5,067","5,600","6,294","6,884"
Cash Flow from Investing(In $M),EW,-285,-328,-373,-438,-474
Cash Flow from Operations(In $M),EW,"1,642","1,829","2,096","2,343","2,608"
Cash Flow from Financing(In $M),EW,-920,-694,-858,"-1,329","-1,241"
Cash Flow per Share(In $),EW,2.73,3.09,3.55,-,-
Free Cash Flow(In $M),EW,"1,321","1,825","1,817","2,036","2,133"
Free Cash Flow per Share(In $),EW,2.20,2.39,2.80,3.33,3.78
Book Value per Share(In $),EW,11.00,13.18,15.22,-,-
Net Debt(In $M),EW,"-1,068","-2,221","-3,357","-6,880",-
Research & Development Exp.(In $M),EW,"1,045","1,133","1,239","1,380","1,476"
Capital Expenditure(In $M),EW,303,321,369,412,474
"Selling, General & Admin. Exp.(In $M)",EW,"1,758","1,910","2,090","2,313","2,487"
Shareholder’s Equity(In $M),EW,"6,718","7,835","8,847","8,236","9,691"
Total Assets(In $M),EW,"9,147","10,377","11,336","11,759","13,428"
