,ticker,2023,2024,2025,2026,2027
Revenue(In $M),FDX,"91,124","91,223","95,150","97,364","104,905"
Dividend,FDX,4.50,4.81,5.29,6.60,-
Dividend Yield (in %),FDX,2.26 %,2.40 %,2.55 %,3.38 %,2.74 %
EPS,FDX,14.76,18.22,22.09,26.49,29.66
P/E Ratio,FDX,15.36,12.45,10.27,8.56,7.65
EBIT(In $M),FDX,"5,242","6,253","7,370","8,294","8,728"
EBITDA(In $M),FDX,"9,466","10,580","11,889","13,062",-
Net Profit(In $M),FDX,"3,794","4,561","5,379","6,062","6,429"
Net Profit Adjusted(In $M),FDX,"3,794","4,561","5,379","6,062","6,429"
Pre-Tax Profit(In $M),FDX,"5,048","6,085","7,146","7,966","8,460"
Net Profit (Adjusted)(In $M),FDX,"4,913","5,744","6,739",-,-
EPS (Non-GAAP) ex. SOE(In $),FDX,14.76,18.22,22.09,26.49,29.66
EPS (GAAP)(In $),FDX,14.34,17.78,21.81,26.58,29.66
Gross Income(In $M),FDX,"57,581","58,027","61,751",-,-
Cash Flow from Investing(In $M),FDX,"-5,938","-6,069","-6,166","-6,331","-6,699"
Cash Flow from Operations(In $M),FDX,"8,044","8,896","10,050","11,383","11,952"
Cash Flow from Financing(In $M),FDX,"-2,931","-2,594","-2,351","-3,522","-3,735"
Cash Flow per Share(In $),FDX,31.21,33.49,39.99,-,-
Free Cash Flow(In $M),FDX,"2,017","2,768","3,538","5,406",-
Free Cash Flow per Share(In $),FDX,8.36,10.60,15.12,-,-
Book Value per Share(In $),FDX,105.43,119.97,136.24,-,-
Net Debt(In $M),FDX,"17,191","16,920","15,439",-,-
Research & Development Exp.(In $M),FDX,-,-,-,-,-
Capital Expenditure(In $M),FDX,"5,971","5,964","6,094","6,191","6,699"
"Selling, General & Admin. Exp.(In $M)",FDX,"31,034","31,339","32,996",-,-
Shareholder’s Equity(In $M),FDX,"25,204","27,485","30,517","33,165","36,028"
Total Assets(In $M),FDX,"86,364","88,667","93,431","98,204","102,675"
