,2022,2021,2020,2019,2018,ticker
Current ratio,1.519,1.420,1.412,1.410,1.363,PPG
Quick ratio,0.944,0.890,0.965,0.921,0.871,PPG
Cash ratio,0.233,0.212,0.379,0.278,0.206,PPG
Days of sales outstanding,68.298,68.473,71.924,66.416,67.544,PPG
Days of inventory outstanding,74.737,77.038,81.429,72.131,72.303,PPG
Operating cycle,143.035,145.511,153.353,138.547,139.847,PPG
Days of payables outstanding,95.888,110.075,121.041,100.309,99.756,PPG
Cash conversion cycle,47.147,35.436,32.312,38.239,40.091,PPG
Gross profit margin,0.371,0.388,0.438,0.429,0.415,PPG
Operating profit margin,0.103,0.118,0.128,0.130,0.122,PPG
Pretax profit margin,0.078,0.108,0.098,0.110,0.110,PPG
Net profit margin,0.058,0.086,0.077,0.082,0.087,PPG
Effective tax rate,0.235,0.206,0.214,0.236,0.209,PPG
Return on assets,0.049,0.067,0.054,0.087,0.084,PPG
Return on equity,0.156,0.229,0.186,0.235,0.290,PPG
Return on capital employed,0.114,0.120,0.120,0.198,0.161,PPG
Net income per EBT,0.743,0.793,0.778,0.748,0.792,PPG
Ebt per ebit,0.756,0.913,0.771,0.844,0.904,PPG
Ebit per revenue,0.103,0.118,0.128,0.130,0.122,PPG
Debt ratio,0.677,0.700,0.703,0.623,0.705,PPG
Debt equity ratio,1.158,1.188,1.161,0.988,1.083,PPG
Long term debt to capitalization,0.520,0.536,0.507,0.462,0.485,PPG
Total debt to capitalization,0.537,0.543,0.537,0.497,0.520,PPG
Interest coverage,10.934,16.430,12.804,14.917,15.864,PPG
Cash flow to debt ratio,0.126,0.209,0.322,0.398,0.292,PPG
Company equity multiplier,3.147,3.397,3.438,2.710,3.459,PPG
Receivables turnover,5.344,5.331,5.075,5.496,5.404,PPG
Payables turnover,3.807,3.316,3.016,3.639,3.659,PPG
Inventory turnover,4.884,4.738,4.482,5.060,5.048,PPG
Fixed asset turnover,4.246,3.878,3.481,4.023,5.481,PPG
Asset turnover,0.851,0.787,0.707,1.058,0.960,PPG
Operating cash flow per share,4.056,6.574,8.995,8.780,6.015,PPG
Free cash flow per share,1.874,5.013,7.711,7.037,4.330,PPG
Cash per share,4.861,4.512,8.117,5.374,3.948,PPG
Payout ratio,0.556,0.372,0.468,0.377,0.338,PPG
Operating cash flow sales ratio,0.055,0.093,0.154,0.137,0.095,PPG
Free cash flow operating cash flow ratio,0.462,0.762,0.857,0.801,0.720,PPG
Cash flow coverage ratios,0.126,0.209,0.322,0.398,0.292,PPG
Short term coverage ratios,1.942,7.771,2.810,3.045,2.253,PPG
Capital expenditure coverage ratio,-1.859,-4.210,-7.007,-5.036,-3.569,PPG
Dividend paid and capex coverage ratio,18.519,9.467,11.094,37.818,34.929,PPG
Dividend payout ratio,0.556,0.372,0.468,0.377,0.338,PPG
Price book value ratio,4.528,6.518,6.003,5.985,5.385,PPG
Price to book ratio,4.528,6.518,6.003,5.985,5.385,PPG
Price to sales ratio,1.691,2.439,2.469,2.088,1.622,PPG
Price earnings ratio,29.094,28.472,32.249,25.441,18.594,PPG
Price to free cash flows ratio,67.080,34.401,18.703,18.970,23.612,PPG
Price to operating cash flows ratio,30.998,26.230,16.033,15.204,16.997,PPG
Price cash flow ratio,30.998,26.230,16.033,15.204,16.997,PPG
Price earnings to growth ratio,-1.013,0.800,-2.171,-5.597,-1.375,PPG
Price sales ratio,1.691,2.439,2.469,2.088,1.622,PPG
Dividend yield,0.019,0.013,0.015,0.015,0.018,PPG
Enterprise value multiple,12.157,15.755,14.282,14.367,12.580,PPG
Price fair value,4.528,6.518,6.003,5.985,5.385,PPG
