,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PPG,17652.0,17652.0,16802.0,13834.0,15146.0
Cost of revenue(figures in $M),PPG,11096.0,11096.0,10286.0,7777.0,8653.0
Gross profit(figures in $M),PPG,6556.0,6556.0,6516.0,6057.0,6493.0
Research development(figures in $M),PPG,448.0,448.0,439.0,379.0,432.0
Selling general and administrative(figures in $M),PPG,3842.0,3842.0,3830.0,3389.0,3604.0
Total operating expenses(figures in $M),PPG,4836.0,4844.0,4830.0,4277.0,4547.0
Operating income or loss(figures in $M),PPG,1720.0,1712.0,1686.0,1780.0,1946.0
Interest expense(figures in $M),PPG,167.0,167.0,121.0,138.0,132.0
Total other income/expenses net(figures in $M),PPG,-226.0,-218.0,224.0,-303.0,-185.0
Income before tax(figures in $M),PPG,1381.0,1381.0,1815.0,1362.0,1661.0
Income tax expense(figures in $M),PPG,325.0,325.0,374.0,291.0,392.0
Income from continuing operations(figures in $M),PPG,1056.0,1056.0,1441.0,1071.0,1269.0
Net income(figures in $M),PPG,1026.0,1026.0,1439.0,1059.0,1243.0
Net income available to common shareholders(figures in $M),PPG,1026.0,1026.0,1439.0,1059.0,1243.0
Basic EPS(figures in $M),PPG,,,6.06e-06,4.4699999999999996e-06,5.25e-06
Diluted EPS(figures in $M),PPG,,,6.01e-06,4.450000000000001e-06,5.22e-06
Basic average shares(figures in $M),PPG,,,237.6,236.8,236.9
Diluted average shares(figures in $M),PPG,,,239.4,237.9,238.2
EBITDA(figures in $M),PPG,,2102.0,2497.0,2009.0,2304.0
