,ticker,2023,2024,2025,2026
Revenue(In $M),PPG,"18,149","18,849","19,502","19,810"
Dividend,PPG,2.52,2.64,2.76,2.55
Dividend Yield (in %),PPG,1.95 %,2.04 %,2.18 %,2.10 %
EPS,PPG,7.10,8.09,8.85,8.92
P/E Ratio,PPG,19.58,17.17,15.69,15.58
EBIT(In $M),PPG,"2,267","2,574","2,790","2,756"
EBITDA(In $M),PPG,"2,805","3,113","3,323","3,419"
Net Profit(In $M),PPG,"1,662","1,885","2,038","2,051"
Net Profit Adjusted(In $M),PPG,"1,677","1,898","2,052","2,051"
Pre-Tax Profit(In $M),PPG,"2,152","2,451","2,644","2,623"
Net Profit (Adjusted)(In $M),PPG,"2,074","2,404","2,635",-
EPS (Non-GAAP) ex. SOE(In $),PPG,7.10,8.09,8.85,8.92
EPS (GAAP)(In $),PPG,6.79,7.91,9.00,9.42
Gross Income(In $M),PPG,"6,912","7,334","9,793","7,160"
Cash Flow from Investing(In $M),PPG,-480,-592,-505,-
Cash Flow from Operations(In $M),PPG,"2,181","2,348","2,604","3,186"
Cash Flow from Financing(In $M),PPG,-920,"-1,729","-1,492",-
Cash Flow per Share(In $),PPG,9.05,10.24,11.30,10.93
Free Cash Flow(In $M),PPG,"1,744","1,770","2,036","2,143"
Free Cash Flow per Share(In $),PPG,6.65,7.19,8.56,-
Book Value per Share(In $),PPG,32.00,35.15,38.36,34.60
Net Debt(In $M),PPG,"5,046","4,426","3,607","2,220"
Research & Development Exp.(In $M),PPG,460,487,455,-
Capital Expenditure(In $M),PPG,481,483,487,425
"Selling, General & Admin. Exp.(In $M)",PPG,"4,017","4,121","4,271","4,505"
Shareholder’s Equity(In $M),PPG,"7,460","8,326","9,462","7,618"
Total Assets(In $M),PPG,"21,697","21,617","22,725",-
