,ticker,2023,2024,2025
Revenue(In $M),AFL,"18,189","18,358","18,388"
Dividend,AFL,1.68,1.77,1.86
Dividend Yield (in %),AFL,2.66 %,2.79 %,2.92 %
EPS,AFL,5.81,6.10,6.51
P/E Ratio,AFL,11.61,11.06,10.36
EBIT(In $M),AFL,"4,162","4,171","4,347"
EBITDA(In $M),AFL,"4,313","4,363","4,337"
Net Profit(In $M),AFL,"3,536","3,466","3,510"
Net Profit Adjusted(In $M),AFL,"3,489","3,455","3,514"
Pre-Tax Profit(In $M),AFL,"4,286","4,321","4,426"
Net Profit (Adjusted)(In $M),AFL,"4,531","4,354",-
EPS (Non-GAAP) ex. SOE(In $),AFL,5.81,6.10,6.51
EPS (GAAP)(In $),AFL,5.96,6.19,6.66
Gross Income(In $M),AFL,-,-,-
Cash Flow from Investing(In $M),AFL,-,-,-
Cash Flow from Operations(In $M),AFL,"4,497","4,551",-
Cash Flow from Financing(In $M),AFL,-,-,-
Cash Flow per Share(In $),AFL,7.47,7.94,-
Free Cash Flow(In $M),AFL,107,105,-
Free Cash Flow per Share(In $),AFL,4.80,-,-
Book Value per Share(In $),AFL,38.85,40.85,40.84
Net Debt(In $M),AFL,-,-,-
Research & Development Exp.(In $M),AFL,-,-,-
Capital Expenditure(In $M),AFL,-,-,-
"Selling, General & Admin. Exp.(In $M)",AFL,-,-,-
Shareholder’s Equity(In $M),AFL,"20,088","19,642","19,455"
Total Assets(In $M),AFL,"124,449","127,620","132,286"
