,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),4201.0,4418.0,4325.0,4778.0,3304.0,AFL
Change in working capital(figures in $M),105.0,105.0,1166.0,656.0,1828.0,AFL
Other working capital(figures in $M),3879.0,3879.0,5051.0,5958.0,5455.0,AFL
Other non-cash items(figures in $M),-151.0,-151.0,-79.0,182.0,358.0,AFL
Net cash provided by operating activities(figures in $M),3879.0,3879.0,5051.0,5958.0,5455.0,AFL
Purchases of investments(figures in $M),-4263.0,-4263.0,-7371.0,-6130.0,-7943.0,AFL
Sales/maturities of investments(figures in $M),4991.0,4991.0,4624.0,3981.0,6556.0,AFL
Other investing activities(figures in $M),-561.0,-561.0,1552.0,-1292.0,803.0,AFL
Net cash used for investing activities(figures in $M),-1540.0,-1540.0,-2378.0,-4619.0,-3171.0,AFL
Debt repayment(figures in $M),-1416.0,-1416.0,-700.0,-350.0,0.0,AFL
Common stock issued(figures in $M),17.0,17.0,26.0,34.0,49.0,AFL
Common stock repurchased(figures in $M),-2401.0,-2401.0,-2301.0,-1537.0,-1627.0,AFL
Dividends paid(figures in $M),-979.0,-979.0,-855.0,-769.0,-771.0,AFL
Other financing activities(figures in $M),-49.0,-49.0,-62.0,-38.0,21.0,AFL
Net cash used provided by (used for) financing activities(figures in $M),-3551.0,-3551.0,-2739.0,-1115.0,-1713.0,AFL
Net change in cash(figures in $M),-1108.0,-1108.0,-90.0,245.0,559.0,AFL
Cash at beginning of period(figures in $M),5051.0,5051.0,5141.0,4896.0,4337.0,AFL
Cash at end of period(figures in $M),3943.0,3943.0,5051.0,5141.0,4896.0,AFL
Operating cash flow(figures in $M),3879.0,3879.0,5051.0,5958.0,5455.0,AFL
Free cash flow(figures in $M),3879.0,3879.0,5051.0,5958.0,5455.0,AFL
