,ticker,2023,2024,2025
Revenue(In $M),PGR,"60,578","67,884","72,638"
Dividend,PGR,2.40,3.19,3.34
Dividend Yield (in %),PGR,2.01 %,2.68 %,2.18 %
EPS,PGR,5.39,7.92,9.29
P/E Ratio,PGR,23.43,15.93,13.58
EBIT(In $M),PGR,"3,400","5,254","6,468"
EBITDA(In $M),PGR,"5,082","6,271",-
Net Profit(In $M),PGR,"3,255","4,668","5,507"
Net Profit Adjusted(In $M),PGR,"3,139","4,686","5,282"
Pre-Tax Profit(In $M),PGR,"4,109","5,862","6,787"
Net Profit (Adjusted)(In $M),PGR,"4,083","5,707","6,526"
EPS (Non-GAAP) ex. SOE(In $),PGR,5.39,7.92,9.29
EPS (GAAP)(In $),PGR,5.42,7.88,9.31
Gross Income(In $M),PGR,-,-,-
Cash Flow from Investing(In $M),PGR,"2,542","2,491",-
Cash Flow from Operations(In $M),PGR,"3,699","5,613","6,526"
Cash Flow from Financing(In $M),PGR,-,-,-
Cash Flow per Share(In $),PGR,6.26,9.53,11.10
Free Cash Flow(In $M),PGR,204,211,-
Free Cash Flow per Share(In $),PGR,-,-,-
Book Value per Share(In $),PGR,31.54,37.14,43.80
Net Debt(In $M),PGR,0,0,-
Research & Development Exp.(In $M),PGR,-,-,-
Capital Expenditure(In $M),PGR,320,346,-
"Selling, General & Admin. Exp.(In $M)",PGR,-,-,-
Shareholder’s Equity(In $M),PGR,"19,099","22,325","27,183"
Total Assets(In $M),PGR,"87,391","98,393","108,263"
