,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),721.5,721.5,3350.9,5704.6,3970.3,PGR
Depreciation & amortisation(figures in $M),336.6,336.6,337.4,331.8,306.1,PGR
Stock-based compensation(figures in $M),122.7,122.7,100.7,89.4,90.2,PGR
Change in working capital(figures in $M),3556.8,3556.8,5355.2,2296.4,2870.2,PGR
Accounts receivable(figures in $M),-1869.0,-1869.0,-1655.5,-1293.3,-1693.0,PGR
Accounts payable(figures in $M),199.5,199.5,399.7,328.9,611.6,PGR
Other working capital(figures in $M),6556.8,6556.8,7518.2,6682.1,5898.1,PGR
Net cash provided by operating activities(figures in $M),6848.8,6848.8,7761.7,6905.6,6261.6,PGR
"Investments in property, plant and equipment(figures in $M)",-292.0,-292.0,-243.5,-223.5,-363.5,PGR
"Acquisitions, net(figures in $M)",0.0,0.0,-313.2,0.0,0.0,PGR
Purchases of investments(figures in $M),-28536.7,-28536.7,-34015.6,-36381.9,-29145.1,PGR
Sales/maturities of investments(figures in $M),21015.2,21015.2,31338.4,30382.2,25111.0,PGR
Other investing activities(figures in $M),-177.8,-177.8,47.9,83.6,6.0,PGR
Net cash used for investing activities(figures in $M),-7956.2,-7956.2,-3119.8,-6117.7,-4338.3,PGR
Debt repayment(figures in $M),0.0,0.0,-520.0,0.0,0.0,PGR
Common stock repurchased(figures in $M),-99.0,-99.0,-223.0,-111.6,-91.3,PGR
Dividends paid(figures in $M),-260.8,-260.8,-3773.3,-1577.8,-1670.0,PGR
Other financing activities(figures in $M),0.0,0.0,0.0,-243.0,-11.2,PGR
Net cash used provided by (used for) financing activities(figures in $M),1126.2,1126.2,-4516.3,-938.8,-1770.9,PGR
Net change in cash(figures in $M),18.8,18.8,125.6,-150.9,152.4,PGR
Cash at beginning of period(figures in $M),202.1,202.1,76.5,227.4,75.0,PGR
Cash at end of period(figures in $M),220.9,220.9,202.1,76.5,227.4,PGR
Operating cash flow(figures in $M),6848.8,6848.8,7761.7,6905.6,6261.6,PGR
Capital expenditure(figures in $M),-292.0,-292.0,-243.5,-223.5,-363.5,PGR
Free cash flow(figures in $M),6556.8,6556.8,7518.2,6682.1,5898.1,PGR
