,ticker,2023,2024,2025,2026,2027
Revenue(In $M),INTU,"14,178","15,788","18,076","20,738",-
Dividend,INTU,3.13,3.38,3.57,5.33,-
Dividend Yield (in %),INTU,0.77 %,0.81 %,0.79 %,-,-
EPS,INTU,13.83,15.51,17.86,21.11,-
P/E Ratio,INTU,31.10,27.74,24.09,20.38,-
EBIT(In $M),INTU,"5,308","5,992","6,979","8,057",-
EBITDA(In $M),INTU,"5,514","6,422","7,480","8,049",-
Net Profit(In $M),INTU,"3,932","4,462","5,253","5,838",-
Net Profit Adjusted(In $M),INTU,"3,932","4,462","5,253","5,838",-
Pre-Tax Profit(In $M),INTU,"5,149","5,863","6,869","8,039",-
Net Profit (Adjusted)(In $M),INTU,"2,772","3,260","4,169",-,-
EPS (Non-GAAP) ex. SOE(In $),INTU,12.59,12.66,12.60,-,-
EPS (GAAP)(In $),INTU,7.33,8.69,11.53,-,-
Gross Income(In $M),INTU,"11,650","13,030","14,847","17,232",-
Cash Flow from Investing(In $M),INTU,-853,-326,-332,-251,-
Cash Flow from Operations(In $M),INTU,"4,497","5,236","6,382","7,421",-
Cash Flow from Financing(In $M),INTU,"-2,376","-1,611","-2,364","-3,521",-
Cash Flow per Share(In $),INTU,15.61,17.68,20.04,-,-
Free Cash Flow(In $M),INTU,"4,179","4,927","5,586","7,590","8,728"
Free Cash Flow per Share(In $),INTU,15.34,17.27,-,16.41,16.20
Book Value per Share(In $),INTU,67.02,80.10,85.04,-,-
Net Debt(In $M),INTU,"2,694",-293,"-5,290",-,-
Research & Development Exp.(In $M),INTU,"2,058","2,284","2,437","2,727",-
Capital Expenditure(In $M),INTU,297,328,358,364,534
"Selling, General & Admin. Exp.(In $M)",INTU,"4,842","5,553",-,-,-
Shareholder’s Equity(In $M),INTU,"18,542","22,207","23,791","31,030","36,693"
Total Assets(In $M),INTU,"30,639","35,230","35,190","42,391",-
