,2022,2021,2020,2019,2018,ticker
Current ratio,1.355,1.297,1.388,3.227,3.379,GILD
Quick ratio,0.993,0.949,1.079,2.862,3.151,GILD
Cash ratio,0.482,0.460,0.526,1.192,1.692,GILD
Days of sales outstanding,63.913,60.060,72.323,58.240,54.881,GILD
Days of inventory outstanding,181.952,151.176,240.619,161.381,61.222,GILD
Operating cycle,245.864,211.236,312.942,219.621,116.103,GILD
Days of payables outstanding,58.392,38.983,67.380,55.667,59.417,GILD
Cash conversion cycle,187.472,172.253,245.562,163.953,56.686,GILD
Gross profit margin,0.793,0.758,0.815,0.792,0.781,GILD
Operating profit margin,0.269,0.271,0.285,0.191,0.371,GILD
Pretax profit margin,0.213,0.303,0.068,0.230,0.352,GILD
Net profit margin,0.168,0.228,0.004,0.240,0.247,GILD
Effective tax rate,0.215,0.251,0.947,-0.040,0.300,GILD
Return on assets,0.073,0.092,0.001,0.087,0.086,GILD
Return on equity,0.217,0.296,0.005,0.238,0.255,GILD
Return on capital employed,0.141,0.131,0.123,0.083,0.155,GILD
Net income per EBT,0.790,0.752,0.053,1.044,0.699,GILD
Ebt per ebit,0.793,1.118,0.237,1.204,0.951,GILD
Ebit per revenue,0.269,0.271,0.285,0.191,0.371,GILD
Debt ratio,0.664,0.690,0.734,0.632,0.662,GILD
Debt equity ratio,1.190,1.267,1.723,1.086,1.278,GILD
Long term debt to capitalization,0.520,0.544,0.611,0.494,0.535,GILD
Total debt to capitalization,0.543,0.559,0.633,0.521,0.561,GILD
Interest coverage,7.840,7.399,7.143,4.309,7.614,GILD
Cash flow to debt ratio,0.360,0.426,0.260,0.372,0.307,GILD
Company equity multiplier,2.978,3.226,3.754,2.721,2.977,GILD
Receivables turnover,5.711,6.077,5.047,6.267,6.651,GILD
Payables turnover,6.251,9.363,5.417,6.557,6.143,GILD
Inventory turnover,2.006,2.414,1.517,2.262,5.962,GILD
Fixed asset turnover,4.983,5.332,4.971,4.986,5.523,GILD
Asset turnover,0.432,0.402,0.361,0.364,0.347,GILD
Operating cash flow per share,7.229,9.064,6.498,7.200,6.471,GILD
Free cash flow per share,6.649,8.603,5.981,6.550,5.760,GILD
Cash per share,5.088,5.191,5.893,19.175,23.181,GILD
Payout ratio,0.808,0.579,38.753,0.598,0.545,GILD
Operating cash flow sales ratio,0.333,0.417,0.331,0.407,0.380,GILD
Free cash flow operating cash flow ratio,0.920,0.949,0.920,0.910,0.890,GILD
Cash flow coverage ratios,0.360,0.426,0.260,0.372,0.307,GILD
Short term coverage ratios,3.991,7.509,2.963,3.659,3.057,GILD
Capital expenditure coverage ratio,-12.462,-19.661,-12.566,-11.084,-9.091,GILD
Dividend paid and capex coverage ratio,3.043,3.762,2.918,3.815,4.104,GILD
Dividend payout ratio,0.808,0.579,38.753,0.598,0.545,GILD
Price book value ratio,5.080,4.330,4.019,3.643,3.796,GILD
Price to book ratio,5.080,4.330,4.019,3.643,3.796,GILD
Price to sales ratio,3.949,3.340,2.966,3.676,3.669,GILD
Price earnings ratio,23.463,14.650,822.841,15.322,14.884,GILD
Price to free cash flows ratio,12.912,8.440,9.741,9.920,10.860,GILD
Price to operating cash flows ratio,11.876,8.011,8.966,9.025,9.665,GILD
Price cash flow ratio,11.876,8.011,8.966,9.025,9.665,GILD
Price earnings to growth ratio,-0.895,0.002,-8.368,16.088,0.798,GILD
Price sales ratio,3.949,3.340,2.966,3.676,3.669,GILD
Dividend yield,0.034,0.040,0.047,0.039,0.037,GILD
Enterprise value multiple,12.274,11.903,11.592,15.514,8.789,GILD
Price fair value,5.080,4.330,4.019,3.643,3.796,GILD
