,2019,2018,2017,2016,2015,ticker
Current ratio,0.720,1.034,0.760,1.114,1.232,WPX
Quick ratio,0.568,0.571,0.591,0.981,0.507,WPX
Cash ratio,0.067,0.004,0.225,0.733,0.055,WPX
Days of sales outstanding,67.178,66.319,84.062,68.133,77.469,WPX
Days of inventory outstanding,13.717,18.269,22.943,15.812,17.916,WPX
Operating cycle,80.895,84.588,107.005,83.946,95.385,WPX
Days of payables outstanding,54.198,49.479,62.571,28.111,37.958,WPX
Cash conversion cycle,26.697,35.109,44.434,55.835,57.428,WPX
Gross profit margin,0.554,0.570,0.475,0.077,0.182,WPX
Operating profit margin,0.130,0.214,-0.042,-0.540,-0.455,WPX
Pretax profit margin,0.134,0.142,-0.119,-1.041,-1.737,WPX
Net profit margin,0.105,0.068,-0.012,-0.668,-1.175,WPX
Effective tax rate,0.213,0.234,0.931,0.347,0.358,WPX
Return on assets,0.030,0.018,-0.002,-0.083,-0.207,WPX
Return on equity,0.057,0.035,-0.004,-0.173,-0.489,WPX
Return on capital employed,0.042,0.064,-0.008,-0.074,-0.087,WPX
Net income per EBT,0.780,0.478,0.101,0.641,0.676,WPX
Ebt per ebit,1.031,0.662,2.839,1.928,3.818,WPX
Ebit per revenue,0.130,0.214,-0.042,-0.540,-0.455,WPX
Debt ratio,0.463,0.476,0.497,0.523,0.577,WPX
Debt equity ratio,0.863,0.907,0.989,1.096,1.362,WPX
Long term debt to capitalization,0.328,0.366,0.384,0.426,0.474,WPX
Total debt to capitalization,0.329,0.368,0.384,0.426,0.474,WPX
Interest coverage,2,2.926,-0.298,-2.348,-3.578,WPX
Cash flow to debt ratio,0.569,0.353,0.197,0.102,0.254,WPX
Company equity multiplier,1.863,1.907,1.989,2.096,2.362,WPX
Receivables turnover,5.433,5.504,4.342,5.357,4.712,WPX
Payables turnover,6.735,7.377,5.833,12.984,9.616,WPX
Inventory turnover,26.610,19.979,15.909,23.083,20.373,WPX
Fixed asset turnover,0.322,0.307,0.179,0.139,0.199,WPX
Asset turnover,0.291,0.272,0.162,0.124,0.176,WPX
Operating cash flow per share,2.990,2.162,1.618,0.836,3.463,WPX
Free cash flow per share,-0.250,-1.452,-2.087,-1.009,-1.336,WPX
Cash per share,0.143,0.007,0.603,1.583,0.162,WPX
Payout ratio,0,0.073,-0.938,-0.030,-0.003,WPX
Operating cash flow sales ratio,0.514,0.396,0.380,0.291,0.552,WPX
Free cash flow operating cash flow ratio,-0.084,-0.672,-1.290,-1.206,-0.386,WPX
Cash flow coverage ratios,0.569,0.353,0.197,0.102,0.254,WPX
Short term coverage ratios,157.125,51.941,0,0,0,WPX
Capital expenditure coverage ratio,-0.923,-0.598,-0.437,-0.453,-0.722,WPX
Dividend paid and capex coverage ratio,-0.923,-0.603,-0.442,-0.468,-0.725,WPX
Dividend payout ratio,0,0.073,-0.938,-0.030,-0.003,WPX
Price book value ratio,1.279,1.078,1.068,1.317,0.380,WPX
Price to book ratio,1.279,1.078,1.068,1.317,0.380,WPX
Price to sales ratio,2.362,2.080,3.307,5.072,0.914,WPX
Price earnings ratio,22.564,30.698,-275.508,-7.595,-0.778,WPX
Price to free cash flows ratio,-55.012,-7.817,-6.740,-14.446,-4.295,WPX
Price to operating cash flows ratio,4.595,5.250,8.695,17.423,1.658,WPX
Price cash flow ratio,4.595,5.250,8.695,17.423,1.658,WPX
Price earnings to growth ratio,0.349,0.037,-2.825,-0.105,0.001,WPX
Price sales ratio,2.362,2.080,3.307,5.072,0.914,WPX
Dividend yield,0,0.002,0.003,0.004,0.004,WPX
Enterprise value multiple,16.343,18.387,283.089,-9.240,-1.831,WPX
Price fair value,1.279,1.078,1.068,1.317,0.380,WPX
