,ticker,2023,2024,2025,2026
Revenue(In $M),LUV,"26,712","28,862","30,855","32,322"
Dividend,LUV,0.59,0.78,0.71,1.07
Dividend Yield (in %),LUV,2.39 %,1.97 %,2.32 %,3.48 %
EPS,LUV,2.63,3.77,4.66,5.42
P/E Ratio,LUV,11.15,7.77,6.29,5.41
EBIT(In $M),LUV,"1,922","2,956","3,611","3,882"
EBITDA(In $M),LUV,"3,447","4,657","5,412","5,769"
Net Profit(In $M),LUV,"1,618","2,386","2,864","3,066"
Net Profit Adjusted(In $M),LUV,"1,613","2,388","2,865","3,066"
Pre-Tax Profit(In $M),LUV,"2,109","3,080","3,768","4,093"
Net Profit (Adjusted)(In $M),LUV,"2,166","3,230","3,897",-
EPS (Non-GAAP) ex. SOE(In $),LUV,2.63,3.77,4.66,5.42
EPS (GAAP)(In $),LUV,2.60,3.94,4.76,-
Gross Income(In $M),LUV,"6,831","7,254","7,734",-
Cash Flow from Investing(In $M),LUV,"-3,632","-4,647","-4,448","-3,943"
Cash Flow from Operations(In $M),LUV,"3,977","5,164","5,194","4,920"
Cash Flow from Financing(In $M),LUV,-577,"-1,326","-3,042","-2,156"
Cash Flow per Share(In $),LUV,6.47,8.77,9.27,-
Free Cash Flow(In $M),LUV,177,922,"1,177","2,939"
Free Cash Flow per Share(In $),LUV,-0.86,-0.96,1.27,-
Book Value per Share(In $),LUV,19.80,23.04,28.00,-
Net Debt(In $M),LUV,"-2,822","-3,062","-3,009","-2,513"
Research & Development Exp.(In $M),LUV,-,-,-,-
Capital Expenditure(In $M),LUV,"4,049","4,387","4,187","3,487"
"Selling, General & Admin. Exp.(In $M)",LUV,-,-,-,-
Shareholder’s Equity(In $M),LUV,"11,576","12,758","13,842","14,920"
Total Assets(In $M),LUV,"37,087","39,119","36,500","36,907"
