,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CF,11186.0,11186.0,6538.0,4124.0,4590.0
Cost of revenue(figures in $M),CF,5325.0,5325.0,4151.0,3323.0,3416.0
Gross profit(figures in $M),CF,5861.0,5861.0,2387.0,801.0,1174.0
Selling general and administrative(figures in $M),CF,290.0,290.0,223.0,206.0,239.0
Total operating expenses(figures in $M),CF,290.0,300.0,184.0,189.0,166.0
Operating income or loss(figures in $M),CF,5571.0,5561.0,2203.0,612.0,1008.0
Interest expense(figures in $M),CF,336.0,344.0,184.0,179.0,237.0
Total other income/expenses net(figures in $M),CF,-197.0,-187.0,-477.0,12.0,-19.0
Income before tax(figures in $M),CF,5095.0,5095.0,1543.0,463.0,772.0
Income tax expense(figures in $M),CF,1158.0,1158.0,283.0,31.0,126.0
Income from continuing operations(figures in $M),CF,3937.0,3937.0,1260.0,432.0,646.0
Net income(figures in $M),CF,3346.0,3346.0,917.0,317.0,493.0
Net income available to common shareholders(figures in $M),CF,3346.0,3346.0,917.0,317.0,493.0
Basic EPS(figures in $M),CF,,1.645e-05,4.27e-06,1.48e-06,2.24e-06
Diluted EPS(figures in $M),CF,,1.638e-05,4.24e-06,1.47e-06,2.23e-06
Basic average shares(figures in $M),CF,,203.3,215.0,214.9,220.2
Diluted average shares(figures in $M),CF,,204.2,216.2,215.2,221.6
EBITDA(figures in $M),CF,,6289.0,2615.0,1534.0,1884.0
