,ticker,2023,2024,2025,2026
Revenue(In $M),CF,"7,261","6,633","6,166","6,500"
Dividend,CF,1.60,1.60,1.55,-
Dividend Yield (in %),CF,2.12 %,2.10 %,2.09 %,-
EPS,CF,9.27,7.55,6.55,7.28
P/E Ratio,CF,7.98,9.80,11.30,10.16
EBIT(In $M),CF,"2,879","2,145","1,734","2,200"
EBITDA(In $M),CF,"3,296","2,780","2,441","2,800"
Net Profit(In $M),CF,"1,821","1,377","1,158","1,400"
Net Profit Adjusted(In $M),CF,"1,809","1,390","1,095",-
Pre-Tax Profit(In $M),CF,"2,758","2,104","1,671","1,900"
Net Profit (Adjusted)(In $M),CF,"2,919","2,230",-,-
EPS (Non-GAAP) ex. SOE(In $),CF,9.27,7.55,6.55,7.28
EPS (GAAP)(In $),CF,9.96,8.07,6.34,-
Gross Income(In $M),CF,"3,150","2,553","2,214",-
Cash Flow from Investing(In $M),CF,-497,-583,-531,-
Cash Flow from Operations(In $M),CF,-,"2,619","2,275","2,600"
Cash Flow from Financing(In $M),CF,"-1,782","-1,697","-1,462",-600
Cash Flow per Share(In $),CF,15.91,14.03,12.33,-
Free Cash Flow(In $M),CF,"2,576","1,841","1,509","1,700"
Free Cash Flow per Share(In $),CF,14.05,10.75,10.46,8.82
Book Value per Share(In $),CF,32.27,34.70,33.21,-
Net Debt(In $M),CF,285,195,286,-
Research & Development Exp.(In $M),CF,-,-,-,-
Capital Expenditure(In $M),CF,535,606,597,-
"Selling, General & Admin. Exp.(In $M)",CF,256,260,289,-
Shareholder’s Equity(In $M),CF,-,"6,250","6,146","9,900"
Total Assets(In $M),CF,-,"13,753","13,820","17,600"
