,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ISRG,6222.2,6222.2,5710.1,4358.4,4478.5
Cost of revenue(figures in $M),ISRG,2026.2,2026.2,1751.6,1497.2,1368.3
Gross profit(figures in $M),ISRG,4196.0,4196.0,3958.5,2861.2,3110.2
Research development(figures in $M),ISRG,879.0,879.0,671.0,595.1,557.3
Selling general and administrative(figures in $M),ISRG,1739.9,1739.9,1466.5,1216.3,1178.4
Total operating expenses(figures in $M),ISRG,2618.9,2618.9,2137.5,1811.4,1735.7
Operating income or loss(figures in $M),ISRG,1577.1,1577.1,1821.0,1049.8,1374.5
Income before tax(figures in $M),ISRG,1606.8,1606.8,1890.3,1207.0,1502.2
Income tax expense(figures in $M),ISRG,262.4,262.4,162.2,140.2,120.4
Income from continuing operations(figures in $M),ISRG,1344.4,1344.4,1728.1,1066.8,1381.8
Net income(figures in $M),ISRG,1322.3,1322.3,1704.6,1060.6,1379.3
Net income available to common shareholders(figures in $M),ISRG,1322.3,1322.3,1704.6,1060.6,1379.3
Basic EPS(figures in $M),ISRG,,,4.79e-06,3.02e-06,3.98e-06
Diluted EPS(figures in $M),ISRG,,,4.66e-06,2.94e-06,3.85e-06
Basic average shares(figures in $M),ISRG,,,356.1,351.0,346.2
Diluted average shares(figures in $M),ISRG,,,365.8,360.9,358.5
EBITDA(figures in $M),ISRG,,1577.1,1821.0,1049.8,1374.5
