,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ISRG,"7,134","8,116","9,228","10,426","11,791"
Dividend,ISRG,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),ISRG,0.15 %,-,-,-,-
EPS,ISRG,5.48,6.43,7.47,8.40,9.86
P/E Ratio,ISRG,55.79,47.56,40.90,36.38,30.98
EBIT(In $M),ISRG,"2,393","2,835","3,321","3,811","4,414"
EBITDA(In $M),ISRG,"2,758","3,231","3,703","4,221","4,814"
Net Profit(In $M),ISRG,"1,948","2,286",-,"3,025","3,473"
Net Profit Adjusted(In $M),ISRG,"1,948","2,286","2,666","3,025","3,473"
Pre-Tax Profit(In $M),ISRG,"2,544","2,974","3,474","3,934","4,523"
Net Profit (Adjusted)(In $M),ISRG,"2,109","2,528","3,006","3,313",-
EPS (Non-GAAP) ex. SOE(In $),ISRG,5.70,-,-,-,-
EPS (GAAP)(In $),ISRG,4.68,5.53,6.72,7.73,9.90
Gross Income(In $M),ISRG,"4,854","5,580","6,346","7,245","8,235"
Cash Flow from Investing(In $M),ISRG,-731,-897,-773,-870,-875
Cash Flow from Operations(In $M),ISRG,"2,613","2,968","3,401","3,462","4,027"
Cash Flow from Financing(In $M),ISRG,-566,-625,-,-,-
Cash Flow per Share(In $),ISRG,8.28,8.43,10.02,-,-
Free Cash Flow(In $M),ISRG,"1,669","2,004","2,382","2,396","3,152"
Free Cash Flow per Share(In $),ISRG,4.99,5.61,-,-,-
Book Value per Share(In $),ISRG,37.47,44.97,53.70,-,-
Net Debt(In $M),ISRG,"-4,416","-6,998","-10,197","-7,483",-
Research & Development Exp.(In $M),ISRG,835,942,"1,042","1,154","1,281"
Capital Expenditure(In $M),ISRG,836,820,758,776,875
"Selling, General & Admin. Exp.(In $M)",ISRG,"1,715","1,906","2,098","2,272","2,540"
Shareholder’s Equity(In $M),ISRG,"13,150","15,684","18,411","21,331","25,056"
Total Assets(In $M),ISRG,"14,954","17,436","19,815","23,579","27,477"
