,2022,2021,2020,2019,2018,ticker
Current ratio,1.474,1.268,1.016,1.237,1.165,MRK
Quick ratio,0.934,0.726,0.582,0.775,0.718,MRK
Cash ratio,0.524,0.339,0.295,0.435,0.359,MRK
Days of sales outstanding,58.183,69.172,59.708,52.817,61.023,MRK
Days of inventory outstanding,123.917,159.463,148.734,154.618,146.983,MRK
Operating cycle,182.100,228.635,208.442,207.436,208.007,MRK
Days of payables outstanding,89.389,123.461,108.286,96.682,89.649,MRK
Cash conversion cycle,92.710,105.174,100.156,110.754,118.358,MRK
Gross profit margin,0.706,0.720,0.677,0.699,0.681,MRK
Operating profit margin,0.248,0.219,0.113,0.197,0.211,MRK
Pretax profit margin,0.277,0.285,0.183,0.245,0.206,MRK
Net profit margin,0.245,0.268,0.147,0.210,0.147,MRK
Effective tax rate,0.117,0.110,0.194,0.147,0.288,MRK
Return on assets,0.133,0.123,0.077,0.117,0.075,MRK
Return on equity,0.316,0.342,0.279,0.380,0.233,MRK
Return on capital employed,0.173,0.130,0.085,0.148,0.148,MRK
Net income per EBT,0.883,0.940,0.804,0.859,0.715,MRK
Ebt per ebit,1.118,1.304,1.617,1.242,0.974,MRK
Ebit per revenue,0.248,0.219,0.113,0.197,0.211,MRK
Debt ratio,0.578,0.638,0.723,0.692,0.675,MRK
Debt equity ratio,0.667,0.867,1.256,1.017,0.941,MRK
Long term debt to capitalization,0.385,0.446,0.500,0.467,0.426,MRK
Total debt to capitalization,0.400,0.464,0.557,0.504,0.485,MRK
Interest coverage,15.291,13.208,6.542,10.333,11.569,MRK
Cash flow to debt ratio,0.622,0.426,0.323,0.510,0.435,MRK
Company equity multiplier,2.374,2.768,3.618,3.258,3.095,MRK
Receivables turnover,6.273,5.277,6.113,6.911,5.981,MRK
Payables turnover,4.083,2.956,3.371,3.775,4.071,MRK
Inventory turnover,2.946,2.289,2.454,2.361,2.483,MRK
Fixed asset turnover,2.767,2.526,2.668,3.112,3.182,MRK
Asset turnover,0.543,0.461,0.524,0.555,0.512,MRK
Operating cash flow per share,7.541,5.577,4.052,5.293,4.213,MRK
Free cash flow per share,5.808,3.819,2.201,3.926,3.204,MRK
Cash per share,5.210,3.200,3.186,4.116,3.419,MRK
Payout ratio,0.483,0.507,0.879,0.579,0.832,MRK
Operating cash flow sales ratio,0.322,0.290,0.214,0.287,0.258,MRK
Free cash flow operating cash flow ratio,0.770,0.685,0.543,0.742,0.761,MRK
Cash flow coverage ratios,0.622,0.426,0.323,0.510,0.435,MRK
Short term coverage ratios,9.812,5.850,1.594,3.723,2.058,MRK
Capital expenditure coverage ratio,-4.352,-3.172,-2.189,-3.870,-4.177,MRK
Dividend paid and capex coverage ratio,7.277,6.526,6.697,6.049,4.271,MRK
Dividend payout ratio,0.483,0.507,0.879,0.579,0.832,MRK
Price book value ratio,6.108,5.078,8.175,8.914,7.419,MRK
Price to book ratio,6.108,5.078,8.175,8.914,7.419,MRK
Price to sales ratio,4.739,3.981,4.312,4.930,4.684,MRK
Price earnings ratio,19.349,14.859,29.287,23.461,31.848,MRK
Price to free cash flows ratio,19.101,20.070,37.165,23.169,23.847,MRK
Price to operating cash flows ratio,14.712,13.743,20.187,17.182,18.137,MRK
Price cash flow ratio,14.712,13.743,20.187,17.182,18.137,MRK
Price earnings to growth ratio,1.752,0.175,-1.043,0.380,0.188,MRK
Price sales ratio,4.739,3.981,4.312,4.930,4.684,MRK
Dividend yield,0.025,0.034,0.030,0.025,0.026,MRK
Enterprise value multiple,16.055,15.794,25.461,19.225,15.354,MRK
Price fair value,6.108,5.078,8.175,8.914,7.419,MRK
