,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MRK,"58,662","62,311","66,283","69,187","72,281"
Dividend,MRK,2.95,3.17,3.43,3.91,4.12
Dividend Yield (in %),MRK,2.77 %,3.03 %,3.26 %,3.66 %,3.85 %
EPS,MRK,6.97,8.52,9.56,10.17,11.02
P/E Ratio,MRK,16.97,13.88,12.37,11.64,10.74
EBIT(In $M),MRK,"21,358","25,768","28,826","30,684","33,008"
EBITDA(In $M),MRK,"23,691","28,890","31,421","32,982","33,804"
Net Profit(In $M),MRK,"17,798","21,557","24,184","25,816","27,967"
Net Profit Adjusted(In $M),MRK,"17,798","21,674","24,359","25,816","27,967"
Pre-Tax Profit(In $M),MRK,"21,410","25,680","28,870","30,831","33,490"
Net Profit (Adjusted)(In $M),MRK,"19,842","24,237","27,591","28,596","30,073"
EPS (Non-GAAP) ex. SOE(In $),MRK,6.97,8.52,9.56,10.17,11.02
EPS (GAAP)(In $),MRK,6.41,8.07,9.17,9.58,10.41
Gross Income(In $M),MRK,"44,635","48,530","51,831","55,006","57,424"
Cash Flow from Investing(In $M),MRK,"-6,022","-4,739","-4,637","-5,735","-5,683"
Cash Flow from Operations(In $M),MRK,"21,071","23,088","26,314","28,373","30,197"
Cash Flow from Financing(In $M),MRK,"-7,073","-9,295","-10,456","-9,835","-10,740"
Cash Flow per Share(In $),MRK,7.25,9.38,10.27,11.76,-
Free Cash Flow(In $M),MRK,"16,772","19,635","22,190","21,610","24,187"
Free Cash Flow per Share(In $),MRK,6.12,9.63,10.91,10.58,-
Book Value per Share(In $),MRK,24.79,29.05,33.89,31.70,32.01
Net Debt(In $M),MRK,"9,356",-147,"-11,206","-17,205","-24,815"
Research & Development Exp.(In $M),MRK,"14,370","13,099","13,170","13,648","14,035"
Capital Expenditure(In $M),MRK,"3,482","3,435","3,518","3,672","3,750"
"Selling, General & Admin. Exp.(In $M)",MRK,"10,202","10,499","10,868","11,212","11,553"
Shareholder’s Equity(In $M),MRK,"52,980","63,470","76,201","93,005","108,113"
Total Assets(In $M),MRK,"116,945","126,093","136,813","152,109","168,137"
