,ticker,2023,2024,2025
Revenue(In $M),WYNN,"5,903","6,831","7,193"
Dividend,WYNN,0.33,0.39,1.00
Dividend Yield (in %),WYNN,0.31 %,0.36 %,1.23 %
EPS,WYNN,1.34,4.24,4.57
P/E Ratio,WYNN,81.83,25.80,23.93
EBIT(In $M),WYNN,862,"1,353","1,406"
EBITDA(In $M),WYNN,"1,617","2,119","2,264"
Net Profit(In $M),WYNN,151,489,494
Net Profit Adjusted(In $M),WYNN,158,492,498
Pre-Tax Profit(In $M),WYNN,217,639,802
Net Profit (Adjusted)(In $M),WYNN,145,621,886
EPS (Non-GAAP) ex. SOE(In $),WYNN,1.34,4.24,4.57
EPS (GAAP)(In $),WYNN,1.65,4.68,4.01
Gross Income(In $M),WYNN,"2,941","3,411","3,630"
Cash Flow from Investing(In $M),WYNN,-650,-901,"-2,310"
Cash Flow from Operations(In $M),WYNN,"1,485","1,964","1,628"
Cash Flow from Financing(In $M),WYNN,"-1,080",-371,-252
Cash Flow per Share(In $),WYNN,11.12,14.97,11.56
Free Cash Flow(In $M),WYNN,"1,069","1,046",-
Free Cash Flow per Share(In $),WYNN,4.81,8.30,-
Book Value per Share(In $),WYNN,-9.24,-4.03,-5.75
Net Debt(In $M),WYNN,"7,790","6,886","6,951"
Research & Development Exp.(In $M),WYNN,-,-,-
Capital Expenditure(In $M),WYNN,382,515,769
"Selling, General & Admin. Exp.(In $M)",WYNN,175,179,-
Shareholder’s Equity(In $M),WYNN,"-1,167",-479,-869
Total Assets(In $M),WYNN,"18,345","17,971","13,560"
