,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),WYNN,3756.825,3756.825,3763.664,2095.861,6611.099
Cost of revenue(figures in $M),WYNN,2390.222,2503.374,2558.581,1743.219,4067.053
Gross profit(figures in $M),WYNN,1366.603,1253.451,1205.083,352.642,2544.046
Selling general and administrative(figures in $M),WYNN,830.45,830.45,796.592,720.849,896.67
Total operating expenses(figures in $M),WYNN,1536.116,1536.116,1548.862,1517.232,1645.455
Operating income or loss(figures in $M),WYNN,-169.513,-282.665,-343.779,-1164.59,898.591
Interest expense(figures in $M),WYNN,650.885,650.885,605.562,556.474,414.03
Total other income/expenses net(figures in $M),WYNN,90.604,203.756,-65.388,-56.595,-20.792
Income before tax(figures in $M),WYNN,-700.036,-700.036,-1011.516,-1762.275,488.218
Income tax expense(figures in $M),WYNN,9.332,9.332,0.474,564.671,176.84
Income from continuing operations(figures in $M),WYNN,-709.368,-709.368,-1011.99,-2326.946,311.378
Net income(figures in $M),WYNN,-423.856,-423.856,-755.786,-2067.245,122.985
Net income available to common shareholders(figures in $M),WYNN,-423.856,-423.856,-755.786,-2067.245,122.985
Basic EPS(figures in $M),WYNN,,-3.73e-06,-6.64e-06,-1.9370000000000003e-05,1.15e-06
Diluted EPS(figures in $M),WYNN,,-3.73e-06,-6.64e-06,-1.9370000000000003e-05,1.15e-06
Basic average shares(figures in $M),WYNN,,113.623,113.76,106.745,106.745
Diluted average shares(figures in $M),WYNN,,113.623,113.76,106.745,106.985
EBITDA(figures in $M),WYNN,,643.167,310.008,-480.299,1527.126
