,ticker,2023,2024,2025
Revenue(In $M),CMA,"3,744","3,703","3,738"
Dividend,CMA,2.86,2.99,3.04
Dividend Yield (in %),CMA,6.31 %,6.51 %,8.05 %
EPS,CMA,8.16,7.81,8.12
P/E Ratio,CMA,3.82,3.99,3.84
EBIT(In $M),CMA,"1,615","1,562",-
EBITDA(In $M),CMA,-,-,-
Net Profit(In $M),CMA,"1,088","1,016",996
Net Profit Adjusted(In $M),CMA,"1,093","1,022","1,000"
Pre-Tax Profit(In $M),CMA,"1,434","1,341","1,321"
Net Profit (Adjusted)(In $M),CMA,"1,428","1,287","1,333"
EPS (Non-GAAP) ex. SOE(In $),CMA,8.22,7.91,8.37
EPS (GAAP)(In $),CMA,8.16,7.81,8.12
Gross Income(In $M),CMA,-,-,-
Cash Flow from Investing(In $M),CMA,-,-,-
Cash Flow from Operations(In $M),CMA,-,-,-
Cash Flow from Financing(In $M),CMA,-,-,-
Cash Flow per Share(In $),CMA,-,-,-
Free Cash Flow(In $M),CMA,-,-,-
Free Cash Flow per Share(In $),CMA,-,-,-
Book Value per Share(In $),CMA,48.65,55.50,62.25
Net Debt(In $M),CMA,-,-,-
Research & Development Exp.(In $M),CMA,-,-,-
Capital Expenditure(In $M),CMA,-,-,-
"Selling, General & Admin. Exp.(In $M)",CMA,-,-,-
Shareholder’s Equity(In $M),CMA,"6,406","6,992",-
Total Assets(In $M),CMA,"91,231","91,394",-
