,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SRE,"15,052","16,027","16,312","15,537","15,979"
Dividend,SRE,-,-,-,5.82,6.16
Dividend Yield (in %),SRE,3.30 %,3.49 %,3.67 %,3.96 %,4.20 %
EPS,SRE,-,-,-,-,11.44
P/E Ratio,SRE,17.40,16.34,15.37,14.56,13.44
EBIT(In $M),SRE,"3,543","3,782","3,929","3,588","3,793"
EBITDA(In $M),SRE,"5,730","6,093","6,241","6,279","6,619"
Net Profit(In $M),SRE,"2,834","3,002","3,198","3,317","3,498"
Net Profit Adjusted(In $M),SRE,"2,834","3,002","3,198","3,317","3,498"
Pre-Tax Profit(In $M),SRE,"2,780","2,953","3,060","2,415","2,524"
Net Profit (Adjusted)(In $M),SRE,"2,316","2,447","2,561",-,-
EPS (Non-GAAP) ex. SOE(In $),SRE,-,-,-,-,11.44
EPS (GAAP)(In $),SRE,8.94,9.51,10.10,10.75,11.38
Gross Income(In $M),SRE,"10,989","11,276","11,527",-,-
Cash Flow from Investing(In $M),SRE,"-4,187","-4,387","-4,387","-5,933","-5,933"
Cash Flow from Operations(In $M),SRE,"4,525","4,766","5,040","6,348","6,782"
Cash Flow from Financing(In $M),SRE,-276,20,-58,"1,470","1,128"
Cash Flow per Share(In $),SRE,16.08,16.98,16.53,-,-
Free Cash Flow(In $M),SRE,-361,-99,163,-,-
Free Cash Flow per Share(In $),SRE,0.46,3.41,4.40,-,-
Book Value per Share(In $),SRE,88.90,93.37,98.21,-,-
Net Debt(In $M),SRE,"32,345","34,895","37,153","42,907","45,783"
Research & Development Exp.(In $M),SRE,-,-,-,-,-
Capital Expenditure(In $M),SRE,"5,693","5,600","5,515","5,161","5,920"
"Selling, General & Admin. Exp.(In $M)",SRE,"5,508","5,549","5,591",-,-
Shareholder’s Equity(In $M),SRE,"25,297","26,530","27,879","32,759","34,643"
Total Assets(In $M),SRE,"82,127","86,693","91,267","99,338","104,402"
