,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SRE,14439.0,14439.0,12857.0,11370.0,10829.0
Cost of revenue(figures in $M),SRE,9228.0,9228.0,7556.0,6328.0,6137.0
Gross profit(figures in $M),SRE,5211.0,5211.0,5301.0,5042.0,4692.0
Total operating expenses(figures in $M),SRE,2654.0,2654.0,2451.0,2209.0,2065.0
Operating income or loss(figures in $M),SRE,2557.0,2557.0,2850.0,2833.0,2627.0
Interest expense(figures in $M),SRE,1054.0,1054.0,1198.0,1081.0,1077.0
Total other income/expenses net(figures in $M),SRE,-261.0,-235.0,-1502.0,-359.0,97.0
Income before tax(figures in $M),SRE,1343.0,1343.0,219.0,1489.0,1734.0
Income tax expense(figures in $M),SRE,556.0,556.0,99.0,249.0,315.0
Income from continuing operations(figures in $M),SRE,2285.0,2285.0,1463.0,2255.0,1999.0
Net income(figures in $M),SRE,2139.0,2139.0,1318.0,3933.0,2198.0
Net income available to common shareholders(figures in $M),SRE,2094.0,2094.0,1254.0,3764.0,2055.0
Basic EPS(figures in $M),SRE,,,4.03e-06,1.293e-05,7.4e-06
Diluted EPS(figures in $M),SRE,,,4.01e-06,1.288e-05,7.29e-06
Basic average shares(figures in $M),SRE,,,311.755,291.077,277.904
Diluted average shares(figures in $M),SRE,,,313.036,292.252,282.033
EBITDA(figures in $M),SRE,,4416.0,3272.0,4236.0,4380.0
