,ticker,2023,2024,2025
Revenue(In $M),HIG,-,-,-
Dividend,HIG,1.72,1.84,1.91
Dividend Yield (in %),HIG,2.52 %,2.69 %,2.88 %
EPS,HIG,8.13,9.69,11.28
P/E Ratio,HIG,8.54,7.17,6.16
EBIT(In $M),HIG,"2,878","3,332","3,584"
EBITDA(In $M),HIG,"4,997","5,659",-
Net Profit(In $M),HIG,"2,508","2,864","3,201"
Net Profit Adjusted(In $M),HIG,"2,503","2,850","3,203"
Pre-Tax Profit(In $M),HIG,"2,908","3,289","4,115"
Net Profit (Adjusted)(In $M),HIG,"3,036","3,444",-
EPS (Non-GAAP) ex. SOE(In $),HIG,8.13,9.69,11.28
EPS (GAAP)(In $),HIG,8.02,9.73,11.41
Gross Income(In $M),HIG,-,-,-
Cash Flow from Investing(In $M),HIG,-,-,-
Cash Flow from Operations(In $M),HIG,"4,997","5,659",-
Cash Flow from Financing(In $M),HIG,-,-,-
Cash Flow per Share(In $),HIG,15.87,18.67,-
Free Cash Flow(In $M),HIG,165,165,-
Free Cash Flow per Share(In $),HIG,-,-,-
Book Value per Share(In $),HIG,53.89,60.26,68.27
Net Debt(In $M),HIG,"4,690","4,690",-
Research & Development Exp.(In $M),HIG,-,-,-
Capital Expenditure(In $M),HIG,-,-,-
"Selling, General & Admin. Exp.(In $M)",HIG,-,-,-
Shareholder’s Equity(In $M),HIG,"15,772","16,691","19,228"
Total Assets(In $M),HIG,"45,372","47,060","81,555"
