,2022,2021,2020,2019,2018,ticker
Current ratio,0.919,1.716,0.605,0.990,2.127,CNP
Quick ratio,0.441,0.670,0.473,0.588,1.920,CNP
Cash ratio,0.014,0.054,0.030,0.061,1.281,CNP
Days of sales outstanding,65.513,52.617,62.145,61.621,54.049,CNP
Days of inventory outstanding,53.974,43.133,40.655,35.937,17.735,CNP
Operating cycle,119.486,95.750,102.800,97.558,71.783,CNP
Days of payables outstanding,83.302,84.847,69.357,67.305,55.815,CNP
Cash conversion cycle,36.185,10.903,33.443,30.253,15.969,CNP
Gross profit margin,0.364,0.384,0.395,0.366,0.234,CNP
Operating profit margin,0.168,0.163,-0.023,0.142,0.078,CNP
Pretax profit margin,0.152,0.093,-0.117,0.102,0.049,CNP
Net profit margin,0.113,0.080,-0.080,0.105,0.035,CNP
Effective tax rate,0.254,0.141,0.317,0.119,0.284,CNP
Return on assets,0.027,0.018,-0.018,0.022,0.014,CNP
Return on equity,0.105,0.071,-0.071,0.095,0.046,CNP
Return on capital employed,0.047,0.041,-0.006,0.034,0.035,CNP
Net income per EBT,0.746,0.859,0.683,1.022,0.716,CNP
Ebt per ebit,0.905,0.571,5.149,0.723,0.619,CNP
Ebit per revenue,0.168,0.163,-0.023,0.142,0.078,CNP
Debt ratio,0.739,0.750,0.751,0.765,0.702,CNP
Debt equity ratio,1.678,1.710,1.610,1.808,1.137,CNP
Long term debt to capitalization,0.596,0.623,0.580,0.630,0.519,CNP
Total debt to capitalization,0.627,0.631,0.617,0.644,0.532,CNP
Interest coverage,2.989,2.577,-0.335,1.889,1.979,CNP
Cash flow to debt ratio,0.107,0.001,0.148,0.108,0.233,CNP
Company equity multiplier,3.837,4.002,4.009,4.250,3.352,CNP
Receivables turnover,5.571,6.937,5.873,5.923,6.753,CNP
Payables turnover,4.382,4.302,5.263,5.423,6.540,CNP
Inventory turnover,6.763,8.462,8.978,10.157,20.581,CNP
Fixed asset turnover,0.343,0.356,0.332,0.367,0.754,CNP
Asset turnover,0.242,0.222,0.222,0.213,0.392,CNP
Operating cash flow per share,2.878,0.037,3.757,3.263,4.759,CNP
Free cash flow per share,-4.148,-5.298,-1.132,-1.729,1.081,CNP
Cash per share,0.928,2.815,1.917,2.117,10.630,CNP
Payout ratio,0.463,0.737,-0.895,0.879,2.438,CNP
Operating cash flow sales ratio,0.194,0.003,0.269,0.217,0.202,CNP
Free cash flow operating cash flow ratio,-1.441,-142.818,-0.301,-0.530,0.227,CNP
Cash flow coverage ratios,0.107,0.001,0.148,0.108,0.233,CNP
Short term coverage ratios,0.896,0.040,1.040,1.887,4.432,CNP
Capital expenditure coverage ratio,-0.410,-0.007,-0.768,-0.654,-1.294,CNP
Dividend paid and capex coverage ratio,-0.461,-0.008,-0.965,-0.904,-2.833,CNP
Dividend payout ratio,0.463,0.737,-0.895,0.879,2.438,CNP
Price book value ratio,1.878,1.758,1.376,1.638,1.572,CNP
Price to book ratio,1.878,1.758,1.376,1.638,1.572,CNP
Price to sales ratio,2.024,1.982,1.549,1.810,1.197,CNP
Price earnings ratio,17.846,24.776,-19.443,17.308,34.431,CNP
Price to free cash flows ratio,-7.230,-5.268,-19.120,-15.773,26.125,CNP
Price to operating cash flows ratio,10.422,752.301,5.760,8.358,5.932,CNP
Price cash flow ratio,10.422,752.301,5.760,8.358,5.932,CNP
Price earnings to growth ratio,0.367,0.123,0.106,0.213,-0.419,CNP
Price sales ratio,2.024,1.982,1.549,1.810,1.197,CNP
Dividend yield,0.026,0.030,0.046,0.051,0.071,CNP
Enterprise value multiple,12.605,11.846,23.581,10.729,8.086,CNP
Price fair value,1.878,1.758,1.376,1.638,1.572,CNP
