,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CNP,9321.0,9321.0,8352.0,7418.0,7564.0
Cost of revenue(figures in $M),CNP,5924.0,5924.0,5145.0,4489.0,4794.0
Gross profit(figures in $M),CNP,3397.0,3397.0,3207.0,2929.0,2770.0
Total operating expenses(figures in $M),CNP,1831.0,1831.0,1844.0,1705.0,1699.0
Operating income or loss(figures in $M),CNP,1566.0,1566.0,1363.0,1224.0,1071.0
Interest expense(figures in $M),CNP,524.0,524.0,529.0,501.0,567.0
Total other income/expenses net(figures in $M),CNP,375.0,375.0,-56.0,-1564.0,248.0
Income before tax(figures in $M),CNP,1417.0,1417.0,778.0,-865.0,774.0
Income tax expense(figures in $M),CNP,360.0,360.0,110.0,-274.0,92.0
Income from continuing operations(figures in $M),CNP,1057.0,1057.0,668.0,-591.0,682.0
Net income(figures in $M),CNP,1057.0,1057.0,1486.0,-773.0,791.0
Net income available to common shareholders(figures in $M),CNP,1008.0,1008.0,1391.0,-949.0,674.0
Basic EPS(figures in $M),CNP,,,2.35e-06,-1.79e-06,1.34e-06
Diluted EPS(figures in $M),CNP,,,2.2799999999999998e-06,-1.79e-06,1.33e-06
Basic average shares(figures in $M),CNP,,,593.0,531.0,502.05
Diluted average shares(figures in $M),CNP,,,610.0,531.0,505.157
EBITDA(figures in $M),CNP,,3229.0,2623.0,855.0,2652.0
