,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CAH,"203,333","215,927","228,569","237,348","244,078"
Dividend,CAH,2.00,2.06,2.15,2.77,-
Dividend Yield (in %),CAH,2.87 %,2.98 %,3.13 %,-,-
EPS,CAH,5.48,6.40,7.34,8.28,8.31
P/E Ratio,CAH,14.93,12.78,11.14,9.87,9.84
EBIT(In $M),CAH,"2,006","2,268","2,499","2,545","2,714"
EBITDA(In $M),CAH,"2,372","2,746","2,987","1,878",868
Net Profit(In $M),CAH,"1,439","1,633","1,782","1,909","1,925"
Net Profit Adjusted(In $M),CAH,"1,439","1,633","1,782","1,909","1,925"
Pre-Tax Profit(In $M),CAH,"1,884","2,149","2,349","2,540","2,567"
Net Profit (Adjusted)(In $M),CAH,"1,053","1,962","2,148","2,300",-
EPS (Non-GAAP) ex. SOE(In $),CAH,5.48,6.40,7.34,8.28,8.31
EPS (GAAP)(In $),CAH,3.60,5.64,6.42,7.35,7.26
Gross Income(In $M),CAH,"7,179","7,871","8,416","7,888","8,131"
Cash Flow from Investing(In $M),CAH,-505,-479,-465,-,-
Cash Flow from Operations(In $M),CAH,"2,544","2,521","2,450","2,960","3,013"
Cash Flow from Financing(In $M),CAH,"-2,156","-1,417","-1,254",-,-
Cash Flow per Share(In $),CAH,6.88,9.37,9.92,12.98,-
Free Cash Flow(In $M),CAH,"2,065","2,120","2,063","2,381","2,406"
Free Cash Flow per Share(In $),CAH,4.80,5.10,5.89,-,-
Book Value per Share(In $),CAH,-6.39,-4.85,-1.66,-4.76,-
Net Debt(In $M),CAH,"1,120",508,-476,"1,300",-
Research & Development Exp.(In $M),CAH,-,-,-,-,-
Capital Expenditure(In $M),CAH,501,474,471,547,-
"Selling, General & Admin. Exp.(In $M)",CAH,"5,021","5,388","5,695","5,246","5,416"
Shareholder’s Equity(In $M),CAH,"-1,923","-1,964","-1,809","-1,036",-622
Total Assets(In $M),CAH,"45,357","47,175","48,161","53,456","55,798"
