,ticker,2023,2024,2025,2026
Revenue(In $M),THC,"20,007","21,102","22,186","22,521"
Dividend,THC,0.00,0.00,0.00,-
Dividend Yield (in %),THC,-,-,-,-
EPS,THC,5.67,6.56,7.92,-
P/E Ratio,THC,12.16,10.50,8.70,10.17
EBIT(In $M),THC,"2,424","2,597","2,855",-
EBITDA(In $M),THC,"3,313","3,515","3,799",-
Net Profit(In $M),THC,602,693,817,-
Net Profit Adjusted(In $M),THC,602,693,817,-
Pre-Tax Profit(In $M),THC,"1,545","1,719","1,972",-
Net Profit (Adjusted)(In $M),THC,-,-,-,-
EPS (Non-GAAP) ex. SOE(In $),THC,5.67,6.56,7.92,-
EPS (GAAP)(In $),THC,5.44,6.36,7.27,-
Gross Income(In $M),THC,"3,283",-,-,-
Cash Flow from Investing(In $M),THC,-853,-940,"-1,104",-
Cash Flow from Operations(In $M),THC,"1,827","1,972","1,892","2,304"
Cash Flow from Financing(In $M),THC,-638,-612,-569,-
Cash Flow per Share(In $),THC,15.60,17.52,18.30,-
Free Cash Flow(In $M),THC,"1,186","1,292","1,212","1,598"
Free Cash Flow per Share(In $),THC,-,9.01,-,-
Book Value per Share(In $),THC,30.83,33.64,-,-
Net Debt(In $M),THC,"13,826","13,436","12,801",-
Research & Development Exp.(In $M),THC,-,-,-,-
Capital Expenditure(In $M),THC,665,703,716,-
"Selling, General & Admin. Exp.(In $M)",THC,"4,227","4,412",-,-
Shareholder’s Equity(In $M),THC,"1,527","1,710","2,712",-
Total Assets(In $M),THC,"27,706","28,645","29,246",-
