,ticker,2023,2024,2025
Revenue(In $M),FFIV,"2,804","2,851","2,994"
Dividend,FFIV,0.00,0.00,0.00
Dividend Yield (in %),FFIV,-,-,-
EPS,FFIV,11.07,12.55,13.73
P/E Ratio,FFIV,11.86,10.46,9.56
EBIT(In $M),FFIV,835,932,"1,013"
EBITDA(In $M),FFIV,942,"1,038","1,099"
Net Profit(In $M),FFIV,645,717,801
Net Profit Adjusted(In $M),FFIV,665,736,801
Pre-Tax Profit(In $M),FFIV,819,917,"1,020"
Net Profit (Adjusted)(In $M),FFIV,566,700,750
EPS (Non-GAAP) ex. SOE(In $),FFIV,11.47,13.04,-
EPS (GAAP)(In $),FFIV,6.33,8.22,10.21
Gross Income(In $M),FFIV,"2,278","2,351","2,473"
Cash Flow from Investing(In $M),FFIV,-81,-173,-302
Cash Flow from Operations(In $M),FFIV,677,780,876
Cash Flow from Financing(In $M),FFIV,-730,-316,-327
Cash Flow per Share(In $),FFIV,11.56,13.45,-
Free Cash Flow(In $M),FFIV,641,761,820
Free Cash Flow per Share(In $),FFIV,10.79,13.61,-
Book Value per Share(In $),FFIV,46.28,53.18,57.11
Net Debt(In $M),FFIV,-812,"-1,299","-1,616"
Research & Development Exp.(In $M),FFIV,470,462,503
Capital Expenditure(In $M),FFIV,43,40,41
"Selling, General & Admin. Exp.(In $M)",FFIV,984,949,-
Shareholder’s Equity(In $M),FFIV,"2,728","3,104","3,264"
Total Assets(In $M),FFIV,"5,278","5,714","6,053"
