,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DV,424.315,452.418,332.741,243.917,182.663
Cost of revenue(figures in $M),DV,73.489,77.866,54.382,35.75,24.848
Gross profit(figures in $M),DV,350.826,374.552,278.359,208.167,157.815
Research development(figures in $M),DV,85.782,95.118,62.698,47.004,31.598
Selling general and administrative(figures in $M),DV,184.856,186.082,158.692,115.213,65.3
Total operating expenses(figures in $M),DV,304.38,315.528,251.675,186.812,118.711
Operating income or loss(figures in $M),DV,46.446,59.024,26.684,21.355,39.104
Interest expense(figures in $M),DV,0.917,0.905,1.172,4.931,5.202
Total other income/expenses net(figures in $M),DV,0.252,1.249,0.309,0.885,1.458
Income before tax(figures in $M),DV,45.781,59.368,25.821,17.309,35.36
Income tax expense(figures in $M),DV,-7.727,16.1,-3.487,-3.144,12.053
Income from continuing operations(figures in $M),DV,53.508,43.268,29.308,20.453,23.307
Net income(figures in $M),DV,53.508,43.268,29.308,20.453,23.307
Net income available to common shareholders(figures in $M),DV,53.508,43.268,29.308,20.453,23.307
Basic EPS(figures in $M),DV,,,2.0000000000000002e-07,1.3e-07,1.5e-07
Diluted EPS(figures in $M),DV,,,1.8e-07,1.3e-07,1.5e-07
Basic average shares(figures in $M),DV,,,148.309,155.33,155.33
Diluted average shares(figures in $M),DV,,,160.264,155.33,155.33
EBITDA(figures in $M),DV,,94.601,57.278,46.835,62.375
