,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HAS,"5,756","5,926","6,357","7,422","8,162"
Dividend,HAS,2.81,2.85,3.03,-,-
Dividend Yield (in %),HAS,5.96 %,6.05 %,6.41 %,-,-
EPS,HAS,4.42,4.92,5.89,7.60,8.67
P/E Ratio,HAS,13.56,12.18,10.18,7.89,6.91
EBIT(In $M),HAS,931,"1,013","1,154","1,451","1,635"
EBITDA(In $M),HAS,"1,159","1,261","1,411","1,736","1,930"
Net Profit(In $M),HAS,612,685,824,"1,053","1,201"
Net Profit Adjusted(In $M),HAS,612,685,824,"1,053","1,201"
Pre-Tax Profit(In $M),HAS,748,850,"1,006","1,300","1,483"
Net Profit (Adjusted)(In $M),HAS,792,867,-,-,-
EPS (Non-GAAP) ex. SOE(In $),HAS,4.42,4.92,5.89,7.60,8.67
EPS (GAAP)(In $),HAS,4.17,4.83,5.80,6.88,7.95
Gross Income(In $M),HAS,"3,887","3,745","3,895","3,884","4,288"
Cash Flow from Investing(In $M),HAS,-203,-191,-,-,-
Cash Flow from Operations(In $M),HAS,625,729,-,-,-
Cash Flow from Financing(In $M),HAS,-506,-773,-,-,-
Cash Flow per Share(In $),HAS,4.75,5.43,6.74,-,-
Free Cash Flow(In $M),HAS,427,546,-,-,-
Free Cash Flow per Share(In $),HAS,3.70,3.95,-,-,-
Book Value per Share(In $),HAS,19.65,20.51,15.83,-,-
Net Debt(In $M),HAS,"3,050","2,926","3,651",-,-
Research & Development Exp.(In $M),HAS,324,331,348,368,404
Capital Expenditure(In $M),HAS,192,179,206,-,-
"Selling, General & Admin. Exp.(In $M)",HAS,"1,384","1,380","1,319","1,479","1,607"
Shareholder’s Equity(In $M),HAS,"2,900","2,994","2,175",-,-
Total Assets(In $M),HAS,"9,482","9,082",-,-,-
