,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),HAS,5856.7,5856.7,6420.4,5465.443,4720.227
Cost of revenue(figures in $M),HAS,2404.8,2404.8,2547.9,2288.869,2222.398
Gross profit(figures in $M),HAS,3451.9,3451.9,3872.5,3176.574,2497.829
Research development(figures in $M),HAS,307.9,307.9,315.7,259.522,262.156
Selling general and administrative(figures in $M),HAS,2053.4,2053.4,1939.3,1664.87,1450.779
Total operating expenses(figures in $M),HAS,3022.1,3022.1,3000.4,2456.194,1845.779
Operating income or loss(figures in $M),HAS,429.8,429.8,872.1,720.38,652.05
Interest expense(figures in $M),HAS,171.0,171.0,179.7,201.13,101.878
Total other income/expenses net(figures in $M),HAS,-9.1,2.7,-110.5,-197.188,44.038
Income before tax(figures in $M),HAS,261.5,261.5,581.9,322.062,594.21
Income tax expense(figures in $M),HAS,58.5,58.5,146.6,96.621,73.756
Income from continuing operations(figures in $M),HAS,203.0,203.0,435.3,225.441,520.454
Net income(figures in $M),HAS,203.5,203.5,428.7,222.519,520.454
Net income available to common shareholders(figures in $M),HAS,203.5,203.5,428.7,222.519,520.454
Basic EPS(figures in $M),HAS,,1.47e-06,3.11e-06,1.6200000000000002e-06,4.07e-06
Diluted EPS(figures in $M),HAS,,1.46e-06,3.1e-06,1.6200000000000002e-06,4.05e-06
Basic average shares(figures in $M),HAS,,138.7,138.0,137.3,127.9
Diluted average shares(figures in $M),HAS,,138.9,138.4,137.6,128.5
EBITDA(figures in $M),HAS,,537.8,878.4,667.938,743.347
