,ticker,2023,2024,2025,2026
Revenue(In $M),DELL,"100,584","87,129","91,332","93,918"
Dividend,DELL,1.03,1.48,1.54,-
Dividend Yield (in %),DELL,2.73 %,3.42 %,3.50 %,4.35 %
EPS,DELL,7.47,5.30,6.16,6.88
P/E Ratio,DELL,6.05,8.54,7.35,6.57
EBIT(In $M),DELL,"8,397","6,740","7,456","7,713"
EBITDA(In $M),DELL,"10,425","8,918","9,824","10,452"
Net Profit(In $M),DELL,"5,413","3,865","4,454","4,768"
Net Profit Adjusted(In $M),DELL,"5,607","3,865","4,454","4,768"
Pre-Tax Profit(In $M),DELL,"6,904","5,066","5,816","6,263"
Net Profit (Adjusted)(In $M),DELL,"3,220","3,931","5,745",-
EPS (Non-GAAP) ex. SOE(In $),DELL,7.44,5.24,6.07,7.10
EPS (GAAP)(In $),DELL,3.33,3.64,4.29,6.70
Gross Income(In $M),DELL,"22,880","20,451","21,272",-
Cash Flow from Investing(In $M),DELL,"-3,693",-,"-2,708",-
Cash Flow from Operations(In $M),DELL,"4,316","5,721","6,656",-
Cash Flow from Financing(In $M),DELL,"-4,202",-,"-2,580",-
Cash Flow per Share(In $),DELL,6.46,8.73,10.27,11.51
Free Cash Flow(In $M),DELL,"1,273","3,110","4,100",-
Free Cash Flow per Share(In $),DELL,7.50,5.55,-,-
Book Value per Share(In $),DELL,-3.68,-3.05,-3.45,3.10
Net Debt(In $M),DELL,"20,902","19,495","17,363","15,178"
Research & Development Exp.(In $M),DELL,"2,497","2,599","2,672",-
Capital Expenditure(In $M),DELL,"2,923","2,662","2,767","2,942"
"Selling, General & Admin. Exp.(In $M)",DELL,"12,843","12,142","12,418",-
Shareholder’s Equity(In $M),DELL,"-2,782","-2,365","-1,734","4,753"
Total Assets(In $M),DELL,"82,946",-,"89,386",-
