,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),DELL,102301.0,102301.0,101197.0,94224.0,92154.0
Cost of revenue(figures in $M),DELL,79615.0,79615.0,79306.0,64807.0,63221.0
Gross profit(figures in $M),DELL,22686.0,22686.0,21891.0,29417.0,28933.0
Research development(figures in $M),DELL,2779.0,2779.0,2577.0,5275.0,4992.0
Selling general and administrative(figures in $M),DELL,14136.0,14136.0,14655.0,18998.0,21319.0
Total operating expenses(figures in $M),DELL,16915.0,16915.0,17232.0,24273.0,26311.0
Operating income or loss(figures in $M),DELL,5771.0,5771.0,4659.0,5144.0,2622.0
Interest expense(figures in $M),DELL,1222.0,1222.0,1542.0,2389.0,2626.0
Total other income/expenses net(figures in $M),DELL,-1324.0,-1324.0,2806.0,509.0,192.0
Income before tax(figures in $M),DELL,3225.0,3225.0,5923.0,3670.0,-4.0
Income tax expense(figures in $M),DELL,803.0,803.0,981.0,165.0,-5533.0
Income from continuing operations(figures in $M),DELL,2422.0,2422.0,4942.0,3505.0,5529.0
Net income(figures in $M),DELL,2442.0,2442.0,5563.0,3250.0,4616.0
Net income available to common shareholders(figures in $M),DELL,2442.0,2442.0,5563.0,3250.0,4616.0
Basic EPS(figures in $M),DELL,,3.33e-06,7.2999999999999996e-06,4.3700000000000005e-06,6.38e-06
Diluted EPS(figures in $M),DELL,,3.2400000000000003e-06,7.02e-06,4.219999999999999e-06,6.03e-06
Basic average shares(figures in $M),DELL,,734.0,762.0,744.0,724.0
Diluted average shares(figures in $M),DELL,,753.0,791.0,767.0,751.0
EBITDA(figures in $M),DELL,,5771.0,4659.0,5144.0,2622.0
