,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ATI,3836.0,3836.0,2799.8,2982.1,4122.5
Cost of revenue(figures in $M),ATI,3121.8,3121.8,2466.6,2689.3,3484.7
Gross profit(figures in $M),ATI,714.2,714.2,333.2,292.8,637.8
Selling general and administrative(figures in $M),ATI,297.5,297.5,226.9,201.0,267.2
Total operating expenses(figures in $M),ATI,297.5,297.5,226.9,201.0,267.2
Operating income or loss(figures in $M),ATI,416.7,416.7,106.3,91.8,370.6
Interest expense(figures in $M),ATI,92.1,87.4,96.9,94.4,99.0
Total other income/expenses net(figures in $M),ATI,-167.3,-167.3,1.2,-1479.3,-30.0
Income before tax(figures in $M),ATI,162.0,162.0,10.6,-1481.9,241.6
Income tax expense(figures in $M),ATI,15.5,15.5,26.8,77.7,-28.5
Income from continuing operations(figures in $M),ATI,146.5,146.5,-16.2,-1559.6,270.1
Net income(figures in $M),ATI,130.9,130.9,-38.2,-1572.6,257.6
Net income available to common shareholders(figures in $M),ATI,130.9,130.9,-38.2,-1572.6,257.6
Basic EPS(figures in $M),ATI,,1.03e-06,-3e-07,-1.243e-05,2.05e-06
Diluted EPS(figures in $M),ATI,,9.6e-07,-3e-07,-1.243e-05,1.85e-06
Basic average shares(figures in $M),ATI,,127.5,127.1,126.5,125.8
Diluted average shares(figures in $M),ATI,,151.2,127.1,126.5,146.5
EBITDA(figures in $M),ATI,,392.3,251.4,-1244.2,491.7
