,ticker,2023,2024,2025,2026
Revenue(In $M),ATI,"4,192","4,424","4,879","5,136"
Dividend,ATI,0.00,0.00,0.00,-
Dividend Yield (in %),ATI,-,-,-,-
EPS,ATI,2.22,2.75,3.32,3.20
P/E Ratio,ATI,15.92,12.86,10.67,11.06
EBIT(In $M),ATI,464,537,727,760
EBITDA(In $M),ATI,624,715,816,851
Net Profit(In $M),ATI,328,408,502,446
Net Profit Adjusted(In $M),ATI,331,410,510,-
Pre-Tax Profit(In $M),ATI,363,452,583,596
Net Profit (Adjusted)(In $M),ATI,354,431,583,-
EPS (Non-GAAP) ex. SOE(In $),ATI,2.22,2.75,3.32,3.20
EPS (GAAP)(In $),ATI,2.18,2.69,3.74,-
Gross Income(In $M),ATI,812,900,"1,200",-
Cash Flow from Investing(In $M),ATI,-230,-185,-165,-
Cash Flow from Operations(In $M),ATI,342,476,673,658
Cash Flow from Financing(In $M),ATI,-100,-250,-500,-
Cash Flow per Share(In $),ATI,2.30,3.26,5.01,-
Free Cash Flow(In $M),ATI,114,322,508,493
Free Cash Flow per Share(In $),ATI,0.75,1.99,3.78,-
Book Value per Share(In $),ATI,10.85,13.54,11.66,-
Net Debt(In $M),ATI,"1,079",904,"1,103",462
Research & Development Exp.(In $M),ATI,-,-,-,-
Capital Expenditure(In $M),ATI,230,185,165,165
"Selling, General & Admin. Exp.(In $M)",ATI,305,317,316,-
Shareholder’s Equity(In $M),ATI,"1,421","1,759","1,453",-
Total Assets(In $M),ATI,"4,684","4,972","5,023",-
