,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),7514.0,7514.0,8060.0,3135.0,6759.0,AXP
Depreciation & amortisation(figures in $M),1626.0,1626.0,1695.0,1543.0,1188.0,AXP
Deferred income taxes(figures in $M),-1189.0,-1189.0,294.0,-256.0,426.0,AXP
Stock-based compensation(figures in $M),375.0,375.0,330.0,249.0,283.0,AXP
Change in working capital(figures in $M),10206.0,10206.0,6457.0,-3810.0,1403.0,AXP
Accounts payable(figures in $M),8815.0,8815.0,5389.0,-2025.0,1771.0,AXP
Other working capital(figures in $M),19224.0,19224.0,13095.0,4113.0,11987.0,AXP
Other non-cash items(figures in $M),365.0,365.0,-772.0,0.0,0.0,AXP
Net cash provided by operating activities(figures in $M),21079.0,21079.0,14645.0,5591.0,13632.0,AXP
"Investments in property, plant and equipment(figures in $M)",-1855.0,-1855.0,-1550.0,-1478.0,-1645.0,AXP
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,-352.0,AXP
Purchases of investments(figures in $M),-4175.0,-4175.0,-1517.0,-20562.0,-11166.0,AXP
Sales/maturities of investments(figures in $M),1918.0,1918.0,20094.0,7228.0,7351.0,AXP
Other investing activities(figures in $M),0.0,0.0,0.0,135.0,152.0,AXP
Net cash used for investing activities(figures in $M),-33689.0,-33689.0,-10529.0,11632.0,-16707.0,AXP
Debt repayment(figures in $M),-18906.0,-18906.0,-11662.0,-15593.0,-13850.0,AXP
Common stock issued(figures in $M),56.0,56.0,64.0,44.0,86.0,AXP
Common stock repurchased(figures in $M),-3502.0,-3502.0,-9252.0,-1029.0,-4685.0,AXP
Dividends paid(figures in $M),-1565.0,-1565.0,-1448.0,-1474.0,-1422.0,AXP
Net cash used provided by (used for) financing activities(figures in $M),24509.0,24509.0,-14933.0,-9068.0,-519.0,AXP
Net change in cash(figures in $M),11886.0,11886.0,-10937.0,8519.0,-3362.0,AXP
Cash at beginning of period(figures in $M),22028.0,22028.0,32965.0,24446.0,27808.0,AXP
Cash at end of period(figures in $M),33914.0,33914.0,22028.0,32965.0,24446.0,AXP
Operating cash flow(figures in $M),21079.0,21079.0,14645.0,5591.0,13632.0,AXP
Capital expenditure(figures in $M),-1855.0,-1855.0,-1550.0,-1478.0,-1645.0,AXP
Free cash flow(figures in $M),19224.0,19224.0,13095.0,4113.0,11987.0,AXP
