,ticker,2023,2024,2025,2026
Revenue(In $M),AXP,"61,294","67,172","72,449","71,059"
Dividend,AXP,2.40,2.57,2.87,2.70
Dividend Yield (in %),AXP,1.46 %,1.55 %,1.69 %,1.66 %
EPS,AXP,11.11,12.49,14.36,16.85
P/E Ratio,AXP,13.32,11.85,10.31,8.78
EBIT(In $M),AXP,"14,720","16,114","15,903",-
EBITDA(In $M),AXP,-,-,-,-
Net Profit(In $M),AXP,"8,205","9,003","9,957","10,883"
Net Profit Adjusted(In $M),AXP,"8,206","9,006","9,964","10,883"
Pre-Tax Profit(In $M),AXP,"10,566","11,810","13,221","14,510"
Net Profit (Adjusted)(In $M),AXP,-,"11,786","12,919","14,510"
EPS (Non-GAAP) ex. SOE(In $),AXP,-,12.45,14.18,16.85
EPS (GAAP)(In $),AXP,11.11,12.49,14.36,16.85
Gross Income(In $M),AXP,-,-,-,-
Cash Flow from Investing(In $M),AXP,-,-,-,-
Cash Flow from Operations(In $M),AXP,-,-,-,-
Cash Flow from Financing(In $M),AXP,-,-,-,-
Cash Flow per Share(In $),AXP,-,-,-,-
Free Cash Flow(In $M),AXP,-,-,-,-
Free Cash Flow per Share(In $),AXP,-,-,-,-
Book Value per Share(In $),AXP,38.61,44.22,48.36,-
Net Debt(In $M),AXP,-,-,-,-
Research & Development Exp.(In $M),AXP,-,-,"6,856",-
Capital Expenditure(In $M),AXP,164,197,262,-
"Selling, General & Admin. Exp.(In $M)",AXP,-,-,-,-
Shareholder’s Equity(In $M),AXP,-,-,"40,917",-
Total Assets(In $M),AXP,-,-,"301,937",-
