,ticker,2023,2024,2025
Revenue(In $M),DO,999,"1,175","1,107"
Dividend,DO,0.00,0.00,0.00
Dividend Yield (in %),DO,-,-,-
EPS,DO,0.06,1.56,2.77
P/E Ratio,DO,164.44,6.72,3.78
EBIT(In $M),DO,69,251,348
EBITDA(In $M),DO,166,350,419
Net Profit(In $M),DO,0,173,275
Net Profit Adjusted(In $M),DO,-7,151,275
Pre-Tax Profit(In $M),DO,27,206,316
Net Profit (Adjusted)(In $M),DO,45,147,228
EPS (Non-GAAP) ex. SOE(In $),DO,0.22,1.21,-
EPS (GAAP)(In $),DO,0.03,1.50,2.74
Gross Income(In $M),DO,-,-,-
Cash Flow from Investing(In $M),DO,-116,-179,-127
Cash Flow from Operations(In $M),DO,87,258,297
Cash Flow from Financing(In $M),DO,40,-45,-60
Cash Flow per Share(In $),DO,-,-,-
Free Cash Flow(In $M),DO,-26,113,171
Free Cash Flow per Share(In $),DO,-,-,-
Book Value per Share(In $),DO,6.75,8.23,11.50
Net Debt(In $M),DO,362,252,117
Research & Development Exp.(In $M),DO,-,-,-
Capital Expenditure(In $M),DO,107,128,127
"Selling, General & Admin. Exp.(In $M)",DO,70,78,86
Shareholder’s Equity(In $M),DO,685,855,"1,097"
Total Assets(In $M),DO,"1,640","1,793","1,924"
