,ttm,2022-12-31,ticker
Net income(figures in $M),-103.211,-2014.427,DO
Depreciation & amortisation(figures in $M),103.478,103.478,DO
Deferred income taxes(figures in $M),0.479,0.479,DO
Stock-based compensation(figures in $M),20.159,20.159,DO
Change in working capital(figures in $M),12.146,12.146,DO
Accounts receivable(figures in $M),-25.718,-25.718,DO
Accounts payable(figures in $M),55.006,55.006,DO
Other working capital(figures in $M),-51.159,-51.159,DO
Other non-cash items(figures in $M),-19.292,-19.292,DO
Net cash provided by operating activities(figures in $M),8.864,8.864,DO
"Investments in property, plant and equipment(figures in $M)",-60.023,-60.023,DO
Sales/maturities of investments(figures in $M),0.0,0.0,DO
Other investing activities(figures in $M),7.629,7.629,DO
Net cash used for investing activities(figures in $M),-52.394,-52.394,DO
Debt repayment(figures in $M),-15.865,-15.865,DO
Net cash used provided by (used for) financing activities(figures in $M),78.135,78.135,DO
Net change in cash(figures in $M),34.605,34.605,DO
Cash at beginning of period(figures in $M),62.729,62.729,DO
Cash at end of period(figures in $M),97.334,97.334,DO
Operating cash flow(figures in $M),8.864,8.864,DO
Capital expenditure(figures in $M),-60.023,-60.023,DO
Free cash flow(figures in $M),-51.159,-51.159,DO
