,ticker,2023,2024,2025,2026
Revenue(In $M),SEE,"5,942","6,196","6,470","6,591"
Dividend,SEE,0.72,0.73,0.72,0.80
Dividend Yield (in %),SEE,1.58 %,1.60 %,1.55 %,1.77 %
EPS,SEE,3.60,4.11,4.61,5.01
P/E Ratio,SEE,11.69,10.24,9.13,8.41
EBIT(In $M),SEE,973,"1,075","1,149","1,189"
EBITDA(In $M),SEE,"1,258","1,358","1,452","1,521"
Net Profit(In $M),SEE,518,592,655,733
Net Profit Adjusted(In $M),SEE,515,590,653,733
Pre-Tax Profit(In $M),SEE,685,801,884,997
Net Profit (Adjusted)(In $M),SEE,689,838,906,997
EPS (Non-GAAP) ex. SOE(In $),SEE,3.60,4.11,4.61,5.01
EPS (GAAP)(In $),SEE,3.38,4.06,4.48,5.01
Gross Income(In $M),SEE,"1,899","2,031","2,151","2,158"
Cash Flow from Investing(In $M),SEE,"-1,414",-283,-250,-356
Cash Flow from Operations(In $M),SEE,669,895,975,"1,054"
Cash Flow from Financing(In $M),SEE,722,-477,-632,-659
Cash Flow per Share(In $),SEE,4.71,6.51,6.85,-
Free Cash Flow(In $M),SEE,687,765,671,669
Free Cash Flow per Share(In $),SEE,1.98,4.01,5.06,-
Book Value per Share(In $),SEE,4.88,7.98,10.61,20.02
Net Debt(In $M),SEE,"4,144","3,792","3,730",-
Research & Development Exp.(In $M),SEE,-,-,-,-
Capital Expenditure(In $M),SEE,266,289,297,385
"Selling, General & Admin. Exp.(In $M)",SEE,858,883,938,908
Shareholder’s Equity(In $M),SEE,715,"1,220","1,674","2,929"
Total Assets(In $M),SEE,"7,584","7,705","7,727","8,168"
