,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SEE,5641.9,5641.9,5533.8,4903.2,4791.1
Cost of revenue(figures in $M),SEE,3869.0,3869.0,3852.9,3293.9,3226.3
Gross profit(figures in $M),SEE,1772.9,1772.9,1680.9,1609.3,1564.8
Selling general and administrative(figures in $M),SEE,786.2,786.2,772.4,772.7,915.5
Total operating expenses(figures in $M),SEE,822.3,822.3,811.2,810.2,944.4
Operating income or loss(figures in $M),SEE,950.6,950.6,869.7,799.1,620.4
Interest expense(figures in $M),SEE,169.5,162.3,167.8,174.4,184.1
Total other income/expenses net(figures in $M),SEE,-53.9,-59.0,14.3,1.5,-66.0
Income before tax(figures in $M),SEE,729.3,729.3,716.2,626.2,370.3
Income tax expense(figures in $M),SEE,238.0,238.0,225.0,142.1,76.6
Income from continuing operations(figures in $M),SEE,491.3,491.3,491.2,484.1,293.7
Net income(figures in $M),SEE,491.6,491.6,506.8,502.9,263.0
Net income available to common shareholders(figures in $M),SEE,491.6,491.6,506.8,502.9,263.0
Basic EPS(figures in $M),SEE,,3.37e-06,3.36e-06,3.2400000000000003e-06,1.7e-06
Diluted EPS(figures in $M),SEE,,3.33e-06,3.32e-06,3.22e-06,1.69e-06
Basic average shares(figures in $M),SEE,,145.9,150.9,155.2,154.3
Diluted average shares(figures in $M),SEE,,147.4,152.4,156.0,155.2
EBITDA(figures in $M),SEE,,927.7,922.8,838.1,583.3
