,2020,2019,2018,2017,2016,ticker
Current ratio,1.411,1.524,1.457,1.613,1.666,JCP
Quick ratio,0.200,0.171,0.193,0.367,0.373,JCP
Cash ratio,0.056,0.056,0.049,0.052,0.049,JCP
Days of sales outstanding,0,0,0,0,0,JCP
Days of inventory outstanding,112.732,113.025,124.646,128.654,123.008,JCP
Operating cycle,112.732,113.025,124.646,128.654,123.008,JCP
Days of payables outstanding,40.908,39.283,43.268,44.042,41.816,JCP
Cash conversion cycle,71.824,73.742,81.378,84.612,81.191,JCP
Gross profit margin,0.372,0.345,0.362,0.373,0.360,JCP
Operating profit margin,0.003,0.003,0.006,0.027,-0.008,JCP
Pretax profit margin,-0.024,-0.023,-0.019,-0.001,-0.040,JCP
Net profit margin,-0.024,-0.021,-0.009,-0.001,-0.041,JCP
Effective tax rate,-0.011,0.059,0.516,-0.062,-0.018,JCP
Return on assets,-0.034,-0.033,-0.014,-0.002,-0.054,JCP
Return on equity,-0.323,-0.218,-0.085,-0.013,-0.392,JCP
Return on capital employed,0.005,0.007,0.013,0.052,-0.014,JCP
Net income per EBT,1.011,0.941,0.484,1.062,1.018,JCP
Ebt per ebit,-9.464,-6.452,-3.012,-0.046,5.091,JCP
Ebit per revenue,0.003,0.003,0.006,0.027,-0.008,JCP
Debt ratio,0.896,0.848,0.836,0.852,0.861,JCP
Debt equity ratio,8.637,5.599,5.113,5.734,6.213,JCP
Long term debt to capitalization,0.812,0.770,0.743,0.771,0.781,JCP
Total debt to capitalization,0.815,0.770,0.743,0.771,0.781,JCP
Interest coverage,0.096,0.134,0.249,0.956,-0.244,JCP
Cash flow to debt ratio,0.118,0.092,0.114,0.073,0.094,JCP
Company equity multiplier,9.637,6.599,6.113,6.734,7.213,JCP
Receivables turnover,0,0,0,0,0,JCP
Payables turnover,8.922,9.292,8.436,8.288,8.729,JCP
Inventory turnover,3.238,3.229,2.928,2.837,2.967,JCP
Fixed asset turnover,2.489,3.052,3.007,2.809,2.621,JCP
Asset turnover,1.398,1.557,1.523,1.417,1.337,JCP
Operating cash flow per share,1.337,1.137,1.459,1.084,1.438,JCP
Free cash flow per share,0.372,-0.105,0.190,-0.302,0.392,JCP
Cash per share,1.206,1.055,1.472,2.879,2.942,JCP
Payout ratio,0,0,0,0,0,JCP
Operating cash flow sales ratio,0.038,0.030,0.035,0.026,0.035,JCP
Free cash flow operating cash flow ratio,0.278,-0.092,0.130,-0.278,0.273,JCP
Cash flow coverage ratios,0.118,0.092,0.114,0.073,0.094,JCP
Short term coverage ratios,6.388,0,0,0,0,JCP
Capital expenditure coverage ratio,-1.385,-0.916,-1.149,-0.782,-1.375,JCP
Dividend paid and capex coverage ratio,-1.385,-0.916,-1.149,-0.782,-1.375,JCP
Dividend payout ratio,0,0,0,0,0,JCP
Price book value ratio,0.288,0.356,0.796,1.468,1.697,JCP
Price to book ratio,0.288,0.356,0.796,1.468,1.697,JCP
Price to sales ratio,0.021,0.035,0.086,0.154,0.176,JCP
Price earnings ratio,-0.890,-1.634,-9.333,-116.897,-4.329,JCP
Price to free cash flows ratio,2.003,-12.628,18.666,-21.368,18.507,JCP
Price to operating cash flows ratio,0.557,1.161,2.426,5.950,5.047,JCP
Price cash flow ratio,0.557,1.161,2.426,5.950,5.047,JCP
Price earnings to growth ratio,0.240,0.014,0,-1.209,-0.152,JCP
Price sales ratio,0.021,0.035,0.086,0.154,0.176,JCP
Dividend yield,0,0,0,0,0,JCP
Enterprise value multiple,6.593,7.237,8.014,7.007,13.359,JCP
Price fair value,0.288,0.356,0.796,1.468,1.697,JCP
