,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),HST,4907.0,4907.0,2890.0,1620.0,5469.0
Cost of revenue(figures in $M),HST,1980.0,1980.0,1300.0,1094.0,2358.0
Gross profit(figures in $M),HST,2927.0,2927.0,1590.0,526.0,3111.0
Selling general and administrative(figures in $M),HST,324.0,324.0,196.0,128.0,346.0
Total operating expenses(figures in $M),HST,2169.0,2169.0,1848.0,1479.0,2317.0
Operating income or loss(figures in $M),HST,758.0,758.0,-258.0,-953.0,794.0
Interest expense(figures in $M),HST,156.0,156.0,191.0,194.0,222.0
Total other income/expenses net(figures in $M),HST,37.0,37.0,345.0,178.0,358.0
Income before tax(figures in $M),HST,669.0,669.0,-102.0,-961.0,962.0
Income tax expense(figures in $M),HST,26.0,26.0,-91.0,-220.0,30.0
Income from continuing operations(figures in $M),HST,643.0,643.0,-11.0,-741.0,932.0
Net income(figures in $M),HST,633.0,633.0,-11.0,-732.0,920.0
Net income available to common shareholders(figures in $M),HST,633.0,633.0,-11.0,-732.0,920.0
Basic EPS(figures in $M),HST,,8.900000000000001e-07,-2e-08,-1.04e-06,1.26e-06
Diluted EPS(figures in $M),HST,,8.8e-07,-2e-08,-1.04e-06,1.26e-06
Basic average shares(figures in $M),HST,,714.7,710.3,705.9,730.3
Diluted average shares(figures in $M),HST,,717.5,710.3,705.9,731.1
EBITDA(figures in $M),HST,,1489.0,851.0,-102.0,1860.0
