,ticker,2023,2024,2025
Revenue(In $M),HST,"5,162","5,343","5,502"
Dividend,HST,0.59,0.68,0.79
Dividend Yield (in %),HST,3.83 %,4.65 %,5.52 %
EPS,HST,0.81,0.86,0.89
P/E Ratio,HST,21.37,20.29,19.51
EBIT(In $M),HST,749,813,903
EBITDA(In $M),HST,"1,500","1,564","1,666"
Net Profit(In $M),HST,597,640,736
Net Profit Adjusted(In $M),HST,604,655,792
Pre-Tax Profit(In $M),HST,615,660,777
Net Profit (Adjusted)(In $M),HST,568,594,-
EPS (Non-GAAP) ex. SOE(In $),HST,0.77,0.80,-
EPS (GAAP)(In $),HST,0.79,0.82,-
Gross Income(In $M),HST,"1,595","1,707","1,835"
Cash Flow from Investing(In $M),HST,-423,-472,-
Cash Flow from Operations(In $M),HST,"1,262","1,318",-
Cash Flow from Financing(In $M),HST,-467,-732,-
Cash Flow per Share(In $),HST,1.88,1.98,2.77
Free Cash Flow(In $M),HST,730,821,909
Free Cash Flow per Share(In $),HST,1.53,1.74,-
Book Value per Share(In $),HST,9.47,9.57,9.54
Net Debt(In $M),HST,"3,446","3,258","3,215"
Research & Development Exp.(In $M),HST,-,-,-
Capital Expenditure(In $M),HST,475,406,509
"Selling, General & Admin. Exp.(In $M)",HST,-,-,-
Shareholder’s Equity(In $M),HST,"6,811","6,879","6,845"
Total Assets(In $M),HST,"11,971","11,949",-
