,2022,2021,2020,2019,2018,ticker
Current ratio,0.959,1.661,1.551,1.447,6.468,HST
Quick ratio,0.819,1.198,1.465,1.307,5.505,HST
Cash ratio,0.465,1.005,1.451,1.256,5.263,HST
Days of sales outstanding,37.712,14.272,4.957,4.205,4.691,HST
Days of inventory outstanding,0,0,0,0,0,HST
Operating cycle,37.712,14.272,4.957,4.205,4.691,HST
Days of payables outstanding,68.576,23.865,23.688,40.710,44.412,HST
Cash conversion cycle,-30.863,-9.594,-18.732,-36.506,-39.721,HST
Gross profit margin,0.596,0.550,0.325,0.569,0.564,HST
Operating profit margin,0.158,0.028,-0.588,0.146,0.096,HST
Pretax profit margin,0.136,-0.035,-0.593,0.176,0.236,HST
Net profit margin,0.129,-0.004,-0.457,0.168,0.197,HST
Effective tax rate,0.039,0.892,0.229,0.031,0.115,HST
Return on assets,0.052,-0.001,-0.057,0.075,0.090,HST
Return on equity,0.094,-0.002,-0.117,0.126,0.145,HST
Return on capital employed,0.072,0.007,-0.084,0.072,0.045,HST
Net income per EBT,0.946,0.108,0.771,0.956,0.836,HST
Ebt per ebit,0.863,-1.259,1.008,1.204,2.455,HST
Ebit per revenue,0.158,0.028,-0.588,0.146,0.096,HST
Debt ratio,0.439,0.468,0.501,0.393,0.374,HST
Debt equity ratio,0.713,0.847,0.973,0.601,0.652,HST
Long term debt to capitalization,0.361,0.426,0.425,0.318,0.339,HST
Total debt to capitalization,0.416,0.459,0.493,0.375,0.395,HST
Interest coverage,4.968,0.424,-4.912,3.599,3.118,HST
Cash flow to debt ratio,0.296,0.054,-0.050,0.284,0.266,HST
Company equity multiplier,1.828,1.918,2.039,1.681,1.613,HST
Receivables turnover,9.679,25.575,73.636,86.810,77.803,HST
Payables turnover,5.323,15.294,15.408,8.966,8.218,HST
Inventory turnover,0,0,0,0,0,HST
Fixed asset turnover,8.826,5.245,2.714,9.192,9.411,HST
Asset turnover,0.400,0.234,0.126,0.444,0.457,HST
Operating cash flow per share,1.981,0.411,-0.435,1.712,1.757,HST
Free cash flow per share,1.276,-0.190,-1.142,0.948,1.117,HST
Cash per share,0.933,1.195,3.308,2.154,2.084,HST
Payout ratio,0.237,0,-0.432,0.677,0.579,HST
Operating cash flow sales ratio,0.289,0.101,-0.190,0.229,0.235,HST
Free cash flow operating cash flow ratio,0.644,-0.462,2.625,0.554,0.635,HST
Cash flow coverage ratios,0.296,0.054,-0.050,0.284,0.266,HST
Short term coverage ratios,1.425,0.432,-0.208,1.264,1.239,HST
Capital expenditure coverage ratio,-2.810,-0.684,0.615,-2.240,-2.743,HST
Dividend paid and capex coverage ratio,-4,-0.684,1.715,19.231,8.387,HST
Dividend payout ratio,0.237,0,-0.432,0.677,0.579,HST
Price book value ratio,1.710,1.918,1.634,1.851,1.646,HST
Price to book ratio,1.710,1.918,1.634,1.851,1.646,HST
Price to sales ratio,2.338,4.274,6.375,2.477,2.233,HST
Price earnings ratio,18.122,-1.123 K,-13.937,14.725,11.345,HST
Price to free cash flows ratio,12.578,-91.497,-12.813,19.577,14.930,HST
Price to operating cash flows ratio,8.101,42.302,-33.639,10.838,9.487,HST
Price cash flow ratio,8.101,42.302,-33.639,10.838,9.487,HST
Price earnings to growth ratio,0.003,-11.397,0.076,-1.031,0.121,HST
Price sales ratio,2.338,4.274,6.375,2.477,2.233,HST
Dividend yield,0.013,0,0.031,0.046,0.051,HST
Enterprise value multiple,10.589,20.166,-138.660,10.758,6.668,HST
Price fair value,1.710,1.918,1.634,1.851,1.646,HST
